sku,Staples,Office Depot,Amazon
1590,Y,N,Y
2356,Y,N,Y
4056,Y,N,Y
4058,Y,N,Y
4170,Y,N,Y
7535,Y,N,Y
7716,Y,N,Y
7773,Y,N,Y
9687,Y,N,Y
10686,Y,N,Y
10902,Y,N,Y
10928,Y,N,Y
10936,Y,N,Y
10969,Y,N,Y
11009,Y,N,Y
11499,Y,N,Y
11816,Y,N,Y
11824,Y,N,Y
14257,Y,N,Y
16162,Y,N,Y
17318,Y,N,N
17330,Y,N,Y
17855,Y,N,Y
17871,Y,N,Y
20446,Y,N,Y
20578,Y,N,Y
20677,Y,N,Y
20743,Y,N,Y
22663,Y,N,Y
25552,Y,N,Y
27418,Y,N,Y
27419,Y,N,Y
28749,Y,N,Y
28791,Y,N,Y
28815,Y,N,Y
28817,Y,N,Y
28830,Y,N,Y
30858,Y,N,Y
31352,Y,N,Y
34073,Y,N,Y
35548,Y,N,Y
41319,Y,N,Y
41779,Y,N,Y
57883,Y,N,Y
60190,Y,N,Y
61549,Y,N,Y
63224,Y,N,Y
65797,Y,N,Y
65888,Y,N,Y
65904,Y,N,Y
65912,Y,N,Y
65920,Y,N,Y
65938,Y,N,Y
67146,Y,N,Y
67153,Y,N,Y
67211,Y,N,Y
67229,Y,N,Y
72652,Y,N,Y
72660,Y,N,Y
72686,Y,N,Y
72694,Y,N,Y
72771,Y,N,Y
72924,Y,N,Y
72940,Y,N,Y
72957,Y,N,Y
72965,Y,N,Y
72973,Y,N,Y
72991,Y,N,Y
73015,Y,N,Y
73031,Y,N,Y
73056,Y,N,Y
73072,Y,N,Y
73098,Y,N,Y
73234,Y,N,Y
73354,Y,N,Y
73854,Y,N,Y
75399,Y,N,N
75423,Y,N,Y
75472,Y,N,Y
75498,Y,N,N
75530,Y,N,Y
75571,Y,N,N
76104,Y,N,Y
76245,Y,N,Y
77137,Y,N,Y
78060,Y,N,Y
78650,Y,N,Y
79152,Y,N,Y
81608,Y,N,Y
82964,Y,N,Y
85739,Y,N,Y
85923,Y,N,Y
86272,Y,N,Y
87133,Y,N,Y
87348,Y,N,Y
87501,Y,N,Y
87733,Y,N,Y
87907,Y,N,Y
87915,Y,N,Y
87923,Y,N,Y
87949,Y,N,Y
88249,Y,N,Y
88982,Y,N,Y
89129,Y,N,Y
89150,Y,N,Y
90417,Y,N,Y
91867,Y,N,Y
92532,Y,N,Y
92908,Y,N,Y
92938,Y,N,Y
93404,Y,N,Y
93770,Y,N,Y
94623,Y,N,Y
99966,Y,N,Y
726781,Y,N,Y
1218-C-10,Y,N,Y
1218-C-11,Y,N,Y
1218-C-12,Y,N,Y
1218-C-13,Y,N,Y
1218-C-14,Y,N,Y
1218-C-15,Y,N,Y
1218-C-17,Y,N,Y
1218-C-18,Y,N,Y
1218-C-22,Y,N,Y
1218-C-23,Y,N,Y
1218-C-57,Y,N,N
1218-C-60,Y,N,Y
1218-C-61,Y,N,Y
1218-C-79,Y,N,Y
1218-C-83,Y,N,Y
1218-C-87,Y,N,Y
1218-C-B,Y,N,Y
1218-C-M02,Y,N,Y
1218-C-M04,Y,N,Y
1218-C-M05,Y,N,Y
1218-C-M06,Y,N,Y
1218-C-M07,Y,N,Y
1218-C-M08,Y,N,Y
1218-C-M22,Y,N,Y
1218-C-M27,Y,N,Y
1218-C-M36,Y,N,Y
1218-C-M38,Y,N,Y
1218-C-M40,Y,N,Y
1218-C-M49,Y,N,Y
1218-C-M50,Y,N,Y
1218-C-M75,Y,N,Y
1218-C-M77,Y,N,Y
1218-C-M89,Y,N,Y
1218-C-NLI,Y,N,Y
1218-C-WLI,Y,N,Y
1218-P-10,Y,N,Y
1218-P-11,Y,N,Y
1218-P-12,Y,N,Y
1218-P-13,Y,N,Y
1218-P-14,Y,N,Y
1218-P-15,Y,N,Y
1218-P-17,Y,N,Y
1218-P-18,Y,N,Y
1218-P-22,Y,N,Y
1218-P-23,Y,N,Y
1218-P-61,Y,N,Y
1218-P-79,Y,N,Y
1218-P-83,Y,N,Y
1218-P-88,Y,N,Y
1218-P-B,Y,N,Y
1218-P-M02,Y,N,Y
1218-P-M04,Y,N,Y
1218-P-M05,Y,N,Y
1218-P-M06,Y,N,Y
1218-P-M07,Y,N,Y
1218-P-M08,Y,N,Y
1218-P-M22,Y,N,Y
1218-P-M27,Y,N,Y
1218-P-M35,Y,N,Y
1218-P-M36,Y,N,Y
1218-P-M38,Y,N,Y
1218-P-M40,Y,N,Y
1218-P-M49,Y,N,Y
1218-P-M50,Y,N,Y
1218-P-M75,Y,N,Y
1218-P-M77,Y,N,Y
1218-P-M89,Y,N,Y
1218-P-NLI,Y,N,Y
1218-P-WLI,Y,N,Y
1319-C-10,Y,N,Y
1319-C-11,Y,N,Y
1319-C-12,Y,N,Y
1319-C-13,Y,N,Y
1319-C-14,Y,N,Y
1319-C-15,Y,N,Y
1319-C-17,Y,N,Y
1319-C-18,Y,N,Y
1319-C-22,Y,N,Y
1319-C-23,Y,N,Y
1319-C-57,Y,N,Y
1319-C-61,Y,N,Y
1319-C-79,Y,N,Y
1319-C-83,Y,N,Y
1319-C-87,Y,N,Y
1319-C-B,Y,N,Y
1319-C-M02,Y,N,Y
1319-C-M04,Y,N,Y
1319-C-M05,Y,N,Y
1319-C-M06,Y,N,Y
1319-C-M07,Y,N,Y
1319-C-M08,Y,N,Y
1319-C-M22,Y,N,Y
1319-C-M27,Y,N,Y
1319-C-M36,Y,N,Y
1319-C-M38,Y,N,Y
1319-C-M40,Y,N,Y
1319-C-M49,Y,N,Y
1319-C-M50,Y,N,Y
1319-C-M75,Y,N,Y
1319-C-M77,Y,N,Y
1319-C-M89,Y,N,Y
1319-C-NLI,Y,N,Y
1319-C-WLI,Y,N,Y
1319-P-10,Y,N,Y
1319-P-11,Y,N,Y
1319-P-12,Y,N,Y
1319-P-13,Y,N,Y
1319-P-14,Y,N,Y
1319-P-15,Y,N,Y
1319-P-17,Y,N,Y
1319-P-18,Y,N,Y
1319-P-22,Y,N,Y
1319-P-23,Y,N,Y
1319-P-61,Y,N,Y
1319-P-79,Y,N,Y
1319-P-83,Y,N,Y
1319-P-88,Y,N,Y
1319-P-B,Y,N,Y
1319-P-M02,Y,N,Y
1319-P-M04,Y,N,Y
1319-P-M05,Y,N,Y
1319-P-M06,Y,N,Y
1319-P-M07,Y,N,Y
1319-P-M08,Y,N,Y
1319-P-M22,Y,N,Y
1319-P-M27,Y,N,Y
1319-P-M36,Y,N,Y
1319-P-M38,Y,N,Y
1319-P-M40,Y,N,Y
1319-P-M49,Y,N,Y
1319-P-M50,Y,N,Y
1319-P-M75,Y,N,Y
1319-P-M77,Y,N,Y
1319-P-M89,Y,N,Y
1319-P-NLI,Y,N,Y
1319-P-WLI,Y,N,Y
1644-BLI,Y,N,Y
1644-NLI,Y,N,Y
1644-WLI,Y,N,Y
1801-GB,Y,N,Y
1801-W,Y,N,Y
1840-30,Y,N,Y
1840-B,Y,N,Y
1840-NPC,Y,N,Y
1840-WPC,Y,N,Y
1855-30,Y,N,Y
1855-B,Y,N,Y
1855-NPC,Y,N,Y
1855-WPC,Y,N,Y
1865-30,Y,N,Y
1865-B,Y,N,Y
1865-GB,Y,N,Y
1865-NPC,Y,N,Y
1870-30,Y,N,Y
1870-B,Y,N,Y
1870-GB,Y,N,Y
1870-NPC,Y,N,Y
1870-WPC,Y,N,Y
1872-30,Y,N,Y
1872-B,Y,N,Y
1872-GB,Y,N,Y
1872-NPC,Y,N,Y
1872-WPC,Y,N,Y
1875-30,Y,N,Y
1875-B,Y,N,Y
1875-GB,Y,N,Y
1875-NPC,Y,N,Y
1875-WPC,Y,N,Y
1880-30,Y,N,Y
1880-B,Y,N,Y
1880-GB,Y,N,Y
1880-NPC,Y,N,Y
1880-WPC,Y,N,Y
1895-B,Y,N,Y
1895-GB,Y,N,Y
1895-NPC,Y,N,Y
1895-WPC,Y,N,Y
1COBLK,Y,N,Y
1COGB,Y,N,Y
1COGLD,Y,N,Y
1COSIL,Y,N,Y
4260-12,Y,N,Y
4260-14,Y,N,Y
4260-15,Y,N,Y
4260-16,Y,N,Y
4260-18,Y,N,Y
4260-20,Y,N,Y
4260-21,Y,N,Y
4260-22,Y,N,Y
4261-12,Y,N,Y
4261-14,Y,N,Y
4261-15,Y,N,Y
4261-18,Y,N,Y
4261-20,Y,N,Y
4261-22,Y,N,Y
4820-BLI,Y,N,Y
4820-NLI,Y,N,Y
4820-WLI,Y,N,Y
4855-NLI,Y,N,Y
4855-NPC,Y,N,Y
4855-WLI,Y,N,Y
4860-70W,Y,N,Y
4860-GB,Y,N,Y
4860-NLI,Y,N,Y
4860-NPC,Y,N,Y
4860-SW,Y,N,Y
4860-WGB,Y,N,Y
4860-WLI,Y,N,Y
4865-BLI,Y,N,Y
4865-GB,Y,N,Y
4865-NLI,Y,N,Y
4865-NPC,Y,N,Y
4865-SN,Y,N,Y
4865-SW,Y,N,Y
4865-W,Y,N,Y
4865-WLI,Y,N,Y
4865-WPC,Y,N,Y
4865-WPP,Y,N,Y
4870-42,Y,N,Y
4870-BLI,Y,N,Y
4870-GB,Y,N,Y
4870-NLI,Y,N,Y
4870-NPC,Y,N,Y
4870-SN,Y,N,Y
4870-SW,Y,N,Y
4870-WLI,Y,N,Y
4870-WPC,Y,N,Y
4872-70W,Y,N,Y
4872-BLI,Y,N,Y
4872-GB,Y,N,Y
4872-NLI,Y,N,Y
4872-NPC,Y,N,Y
4872-R,Y,N,Y
4872-SN,Y,N,Y
