SKU,Cost
1117-C-10,0.0826
1117-C-102,0.0928
1117-C-104,0.0976
1117-C-106,0.0976
1117-C-11,0.0976
1117-C-112,0.0976
1117-C-12,0.0882
1117-C-14,0.0748
1117-C-15,0.0882
1117-C-17,0.0942
1117-C-26,0.0976
1117-C-79,0.1505
1117-C-83,0.1215
1117-C-L07,0.0882
1117-C-L17,0.0976
1117-C-L20,0.0882
1117-C-L22,0.0836
1117-C-M05,0.2812
1117-C-M22,0.3515
1117-C-M24,0.326
1117-C-M27,0.2806
1117-C-M36,0.326
1117-C-M38,0.328
1117-C-M75,0.312
1117-C-M77,0.238
1117-C-M89,0.328
1117-C-N,0.12275
1117-C-W,0.1215
1117-P-10,0.0346
1117-P-103,0.0412
1117-P-104,0.0412
1117-P-106,0.0412
1117-P-11,0.0412
1117-P-113,0.0372
1117-P-12,0.0372
1117-P-14,0.0332
1117-P-15,0.0372
1117-P-17,0.042
1117-P-18,0.0412
1117-P-22,0.035
1117-P-25,0.0412
1117-P-26,0.0412
1117-P-60T15,0.0346
1117-P-79,0.051
1117-P-B,0.0424
1117-P-BLI,0.0444
1117-P-GB,0.0157146
1117-P-L05,0.0372
1117-P-L07,0.0372
1117-P-L17,0.0412
1117-P-L20,0.0372
1117-P-L22,0.0372
1117-P-M02,0.136
1117-P-M04,0.106
1117-P-M05,0.1002
1117-P-M06,0.104
1117-P-M22,0.1002
1117-P-M24,0.146
1117-P-M27,0.1152
1117-P-M30,0.1205
1117-P-M36,0.146
1117-P-M38,0.146
1117-P-M49,0.13
1117-P-M50,0.146
1117-P-NLI,0.0392
1117-P-WCN,0.0412
1117-P-WGV,0.0412
1117-P-WLI,0.0392
1117-P-WPQ,0.0402
1212-C-101,0.06966388
1212-C-11,0.08133008
1212-C-112,0.08133008
1212-C-12,0.07349706
1212-C-130GG,0.4133416
1212-C-15,0.07349706
1212-C-17,0.07850157
1212-C-184SN,0.56434462
1212-C-23,0.07733024
1212-C-236SN,0.72368114
1212-C-30,0.18782582
1212-C-57,0.1183286
1212-C-79,0.10032932
1212-C-83,0.08099676
1212-C-92GG,0.2850057
1212-C-L05,0.06966388
1212-C-L20,0.07349706
1212-C-L22,0.06966388
1212-C-M02,0.2599896
1212-C-M22,0.23432396
1212-C-M89,0.2733224
1212-C-WLI,0.07349706
1212-P-08,0.0866632
1212-P-10,0.02883218
1212-P-101,0.03099876
1212-P-102,0.03266536
1212-P-112,0.03433196
1212-P-113,0.03099876
1212-P-18,0.03433196
1212-P-23,0.03433196
1212-P-25,0.03433196
1212-P-60T15,0.02883218
1212-P-61,0.03299868
1212-P-79,0.03399864
1212-P-83,0.0349986
1212-P-L07,0.03099876
1212-P-L17,0.03433196
1212-P-L20,0.03099876
1212-P-L22,0.03099876
1212-P-M02,0.1133288
1212-P-M05,0.08349666
1212-P-M24,0.1216618
1212-P-M27,0.09599616
1212-P-M36,0.1216618
1212-P-M38,0.1216618
1212-P-M49,0.108329
1212-P-M50,0.1216618
1212-P-M89,0.1216618
1212-P-WGV,0.03433196
1218-C-184SN,0.8465
1218-C-22,0.079
1218-C-236SBW,1.0855
1218-C-236SN,1.0855
1218-C-M09,0.28175
1218-P-26,0.0412
1218-P-L17,0.0412
1218-P-M09,0.1205
1218-P-WCN,0.0412
1218-P-WPQ,0.0402
1319-C-130GG,0.62
1319-C-184SN,1.12865538
1319-C-236SBW,1.44731886
1319-C-236SN,1.44731886
1319-C-57,0.2366643
1319-C-92GG,0.4275
1319-C-M09,0.28175
1319-P-101,0.0465
1319-P-12,0.0465
1319-P-17,0.0525
1319-P-20,0.0465
1319-P-22,0.04375
1319-P-25,0.0515
1319-P-26,0.0515
1319-P-61,0.099
1319-P-80W,0.05
1319-P-88,0.012
1319-P-LW,0.12075
1319-P-M09,0.1205
1319-P-M22,0.12525
1319-P-M38,0.1825
1319-P-M50,0.1825
1319-P-M77,0.1325
1319-P-M89,0.1825
1319-P-WPQ,0.05025
1644-GK,0.02200044
1801-01,0.0046875
4010-102,0.00644496
4010-104,0.00677832
4010-106,0.00677832
4010-M09,0.01817851
4012-WPC,0.0275
4020-104,0.00903776
4020-106,0.00903776
4020-L20,0.00816732
4020-L22,0.00774136
4020-M07,0.025001
4020-M09,0.02450098
4030-103,0.01104784
4030-106,0.01161928
4030-L17,0.01161928
4030-L20,0.01050021
4030-M09,0.03130806
4040-112,0.01355664
4040-L20,0.01225098
4040-M09,0.04174408
4060-18GB,0.01008736
5010-WPC,0.03
5020-M09,0.0704375
5030-M09,0.0704375
5040-M09,0.1127
614GF-GB,0.02577752
614GF-NPC,0.06922153
614ZF-07,0.2066708
614ZF-GB,0.03866744
614ZF-NPC,0.10383541
81211-C-77,0.119
81211-C-MS02,0.3944405
81211-C-MS03,0.3944405
81211-C-SW,0.1343
81211-P-32IJ,0.014625
81211-P-MS02,0.450009
81211-P-MS03,0.299997
81214-C-10,0.0413
81214-C-101,0.0418
81214-C-102,0.0464
81214-C-103,0.0464
81214-C-104,0.0488
81214-C-106,0.0488
81214-C-11,0.0488
81214-C-112,0.0488
81214-C-113,0.0441
81214-C-12,0.0441
81214-C-13,0.0402
81214-C-14,0.0374
81214-C-15,0.0441
81214-C-17,0.0471
81214-C-18,0.0464
81214-C-22,0.0395
81214-C-23,0.0464
81214-C-26,0.0488
81214-C-L05,0.0418
81214-C-L07,0.0441
81214-C-L17,0.0488
81214-C-L20,0.0441
81214-C-L22,0.0418
81214-C-M04,0.155
81214-C-M05,0.17575
81214-C-M06,0.195
81214-C-M07,0.20375
81214-C-M22,0.20086116
81214-C-M27,0.175375
81214-C-M30,0.140875
81214-C-M36,0.20375
81214-C-M38,0.205
81214-C-M40,0.155
81214-C-M49,0.16875
81214-C-M50,0.1975
81214-C-M77,0.14875
81214-C-M78,0.15125
81214-P-10,0.0173
81214-P-101,0.0186
81214-P-102,0.0196
81214-P-103,0.0206
81214-P-104,0.0206
81214-P-106,0.0206
81214-P-11,0.0206
81214-P-112,0.0206
81214-P-12,0.0186
81214-P-13,0.0168
81214-P-14,0.0166
81214-P-15,0.0186
81214-P-17,0.021
81214-P-18,0.0206
81214-P-22,0.0175
81214-P-23,0.0206
81214-P-25,0.0206
81214-P-26,0.0206
81214-P-60T15,0.0173
81214-P-GB,0.01375
81214-P-L05,0.0186
81214-P-L07,0.0186
