sku,brand,Manufacturer,Business Category,Product Group,Launch Date,Channel ID
10350,Other,Inventory Item,SOCIAL,ENVELOPES,4/18/05,
11499,LUXPaper,Inventory Item,BUSINESS,ENVELOPES,4/18/05,
11643,LUXPaper,Inventory Item,BUSINESS,ENVELOPES,4/18/05,
11700,Gruppo_Cordenons,Inventory Item,BUSINESS,ENVELOPES,4/18/05,
11783,Stardream,Inventory Item,BUSINESS,ENVELOPES,4/18/05,
11816,Stardream,Inventory Item,BUSINESS,ENVELOPES,4/18/05,
11824,Stardream,Inventory Item,BUSINESS,ENVELOPES,4/18/05,
11858,Stardream,Inventory Item,BUSINESS,ENVELOPES,4/18/05,
11874,LUXPaper,Inventory Item,BUSINESS,ENVELOPES,4/18/05,
11924,Stardream,Inventory Item,BUSINESS,ENVELOPES,4/18/05,
11999,Stardream,Inventory Item,BUSINESS,ENVELOPES,4/18/05,
12039,LUXPaper,Inventory Item,BUSINESS,ENVELOPES,4/18/05,
12229,Other,Inventory Item,BUSINESS,ENVELOPES,4/18/05,
12237,Other,Inventory Item,BUSINESS,ENVELOPES,4/18/05,
12252,Other,Inventory Item,BUSINESS,ENVELOPES,4/18/05,
12310,Other,Inventory Item,BUSINESS,ENVELOPES,4/18/05,
12377,Other,Inventory Item,BUSINESS,ENVELOPES,4/18/05,
1537,Other,Inventory Item,BUSINESS,ENVELOPES,4/18/05,
1552,Other,Inventory Item,BUSINESS,ENVELOPES,4/18/05,
1590,Other,Inventory Item,BUSINESS,ENVELOPES,4/18/05,
1590B,Other,Inventory Item,BUSINESS,ENVELOPES,4/18/05,
1590PS,Other,Inventory Item,BUSINESS,ENVELOPES,4/18/05,
1602,Other,Inventory Item,BUSINESS,ENVELOPES,4/18/05,
16139,Other,Inventory Item,BUSINESS,ENVELOPES,4/18/05,
16147,Other,Inventory Item,BUSINESS,ENVELOPES,4/18/05,
16162,Other,Inventory Item,BUSINESS,ENVELOPES,4/18/05,
1644,Other,Inventory Item,BUSINESS,ENVELOPES,4/18/05,
1693,Other,Inventory Item,BUSINESS,ENVELOPES,4/18/05,
17318,Other,Inventory Item,BUSINESS,ENVELOPES,4/18/05,
