Weight (in Lbs )	Zone-2	Zone-3	Zone-4	Zone-5	Zone-6	Zone-7	Zone-8
1	$7.41 	$7.72 	$8.42 	$8.78 	$9.09 	$9.20 	$9.35 
2	$8.00 	$8.90 	$9.53 	$9.74 	$10.16 	$10.55 	$10.73 
3	$8.33 	$9.29 	$10.04 	$10.46 	$10.88 	$11.25 	$11.80 
4	$8.57 	$9.43 	$10.36 	$11.03 	$11.34 	$12.08 	$12.65 
5	$8.88 	$9.86 	$10.83 	$11.63 	$12.13 	$12.75 	$13.47 
6	$9.17 	$10.13 	$11.09 	$11.97 	$12.41 	$13.09 	$13.73 
7	$9.69 	$10.38 	$11.38 	$12.35 	$12.65 	$13.44 	$14.38 
8	$9.88 	$10.66 	$11.67 	$12.58 	$13.02 	$13.84 	$14.87 
9	$10.04 	$10.80 	$11.83 	$12.69 	$13.30 	$14.42 	$15.66 
10	$10.27 	$10.91 	$11.94 	$13.04 	$13.58 	$15.26 	$16.70 
11	$10.72 	$11.15 	$12.20 	$13.12 	$14.05 	$16.53 	$17.80 
12	$10.90 	$11.62 	$12.32 	$13.31 	$14.54 	$17.20 	$18.63 
13	$11.05 	$11.79 	$12.59 	$13.70 	$14.99 	$18.43 	$19.85 
14	$11.34 	$11.99 	$12.60 	$13.90 	$15.87 	$19.57 	$21.18 
15	$11.40 	$12.38 	$12.90 	$14.53 	$16.75 	$20.18 	$22.47 
16	$11.64 	$12.61 	$13.01 	$14.63 	$17.29 	$21.03 	$23.14 
17	$11.84 	$13.00 	$13.28 	$15.18 	$18.02 	$22.32 	$23.80 
18	$11.85 	$13.04 	$13.29 	$15.77 	$18.78 	$22.77 	$25.19 
19	$12.13 	$13.63 	$13.96 	$16.45 	$19.45 	$23.60 	$26.06 
20	$12.30 	$13.87 	$14.17 	$17.27 	$20.11 	$24.47 	$27.51 
21	$12.66 	$14.27 	$14.78 	$17.30 	$20.93 	$25.40 	$28.36 
22	$12.82 	$14.55 	$15.32 	$18.11 	$21.79 	$26.33 	$29.60 
23	$12.87 	$14.83 	$15.81 	$18.63 	$22.83 	$27.22 	$30.77 
24	$13.21 	$15.44 	$16.32 	$19.22 	$23.70 	$27.87 	$32.54 
25	$13.37 	$15.61 	$16.52 	$19.78 	$24.10 	$29.08 	$33.17 
26	$14.00 	$16.14 	$17.21 	$20.39 	$24.98 	$30.28 	$34.53 
27	$14.35 	$16.52 	$17.39 	$20.73 	$25.99 	$30.83 	$35.12 
28	$14.60 	$16.92 	$18.36 	$22.08 	$27.26 	$32.21 	$36.81 
29	$14.77 	$17.25 	$18.88 	$22.37 	$28.04 	$33.26 	$37.44 
30	$15.06 	$17.67 	$19.60 	$23.26 	$28.49 	$33.42 	$39.00 
31	$15.40 	$18.05 	$19.68 	$23.33 	$29.05 	$34.32 	$40.24 
32	$15.41 	$18.06 	$19.82 	$23.34 	$29.33 	$34.34 	$41.07 
33	$15.51 	$18.32 	$20.50 	$24.44 	$30.88 	$35.48 	$41.78 
34	$15.75 	$18.74 	$21.36 	$25.29 	$31.25 	$36.54 	$43.78 
35	$16.04 	$19.73 	$21.86 	$25.90 	$31.71 	$37.48 	$44.51 
36	$16.28 	$19.74 	$22.25 	$26.79 	$33.04 	$38.75 	$45.83 
37	$16.52 	$20.00 	$22.69 	$27.38 	$33.19 	$40.00 	$46.27 
38	$16.78 	$20.30 	$23.19 	$28.04 	$33.95 	$40.54 	$47.13 
39	$17.17 	$20.90 	$23.72 	$28.36 	$35.15 	$41.74 	$48.11 
40	$17.19 	$20.98 	$23.80 	$28.68 	$35.53 	$41.75 	$48.44 
41	$17.42 	$21.68 	$24.43 	$29.39 	$36.67 	$43.04 	$49.93 
42	$17.51 	$21.96 	$25.37 	$29.76 	$37.18 	$43.76 	$50.19 
43	$17.92 	$22.28 	$25.42 	$30.98 	$38.82 	$45.35 	$51.55 
44	$18.17 	$22.71 	$26.32 	$31.83 	$39.16 	$46.32 	$52.09 
45	$18.19 	$22.84 	$26.33 	$31.84 	$39.43 	$47.68 	$52.46 
46	$18.59 	$22.85 	$26.91 	$32.44 	$40.47 	$48.19 	$53.85 
47	$18.67 	$23.15 	$27.34 	$32.67 	$41.02 	$49.12 	$54.71 
48	$18.68 	$23.36 	$27.67 	$33.54 	$41.63 	$49.57 	$55.58 
49	$18.68 	$23.37 	$27.68 	$33.55 	$41.94 	$50.45 	$55.91 
50	$18.69 	$23.38 	$27.68 	$33.57 	$41.95 	$50.58 	$56.21 
51	$18.72 	$23.42 	$27.72 	$33.62 	$41.96 	$50.59 	$56.28 
52	$18.73 	$23.43 	$27.74 	$33.62 	$41.97 	$50.60 	$56.83 
53	$18.74 	$23.44 	$27.75 	$33.67 	$41.98 	$50.61 	$56.84 
54	$18.75 	$23.45 	$27.80 	$33.89 	$41.99 	$50.62 	$57.27 
55	$18.76 	$23.46 	$27.81 	$34.38 	$41.99 	$50.63 	$57.39 
56	$18.77 	$23.47 	$27.85 	$34.39 	$42.00 	$50.63 	$58.10 
57	$19.10 	$23.81 	$28.18 	$35.42 	$42.01 	$50.64 	$58.70 
58	$19.11 	$23.81 	$28.19 	$35.42 	$42.02 	$50.65 	$59.76 
59	$19.27 	$23.83 	$28.57 	$35.44 	$42.71 	$50.74 	$60.19 
60	$19.65 	$24.52 	$29.04 	$36.70 	$43.10 	$51.03 	$60.57 
61	$19.67 	$24.83 	$29.05 	$36.78 	$43.49 	$51.32 	$60.94 
62	$20.47 	$26.33 	$29.81 	$37.83 	$43.78 	$52.11 	$61.32 
63	$20.48 	$26.34 	$29.82 	$37.84 	$44.07 	$52.21 	$61.69 
64	$21.02 	$26.87 	$30.59 	$37.86 	$44.79 	$52.55 	$62.63 
65	$21.25 	$27.37 	$30.60 	$37.93 	$45.19 	$52.67 	$62.74 
66	$21.56 	$27.59 	$30.61 	$37.94 	$45.22 	$52.83 	$63.01 
67	$21.64 	$27.60 	$30.62 	$37.94 	$45.58 	$53.09 	$63.02 
68	$21.81 	$28.38 	$32.46 	$38.80 	$45.82 	$53.40 	$63.03 
69	$22.05 	$28.39 	$32.47 	$39.08 	$46.06 	$53.41 	$63.35 
70	$22.16 	$28.71 	$32.86 	$40.29 	$46.98 	$53.42 	$63.90 
71	$22.28 	$28.74 	$33.38 	$40.58 	$47.73 	$54.78 	$63.91 
72	$22.80 	$28.78 	$34.16 	$40.59 	$48.08 	$56.59 	$64.36 
73	$23.16 	$29.07 	$34.17 	$41.18 	$48.13 	$56.60 	$64.48 
74	$24.00 	$29.08 	$34.18 	$41.19 	$49.34 	$57.22 	$64.61 
75	$25.13 	$29.37 	$34.43 	$41.91 	$49.80 	$57.81 	$64.63 
76	$26.56 	$31.01 	$34.64 	$42.56 	$50.44 	$58.75 	$64.64 
77	$27.60 	$31.46 	$35.37 	$42.75 	$50.72 	$59.87 	$64.65 
78	$27.89 	$32.64 	$36.42 	$43.21 	$51.04 	$60.87 	$64.66 
79	$29.42 	$33.68 	$36.97 	$43.88 	$52.10 	$61.81 	$65.72 
80	$29.94 	$34.64 	$37.49 	$44.93 	$52.97 	$62.08 	$66.21 
81	$30.66 	$34.93 	$38.39 	$45.23 	$53.67 	$63.04 	$67.05 
82	$31.66 	$36.05 	$40.01 	$46.09 	$53.80 	$64.66 	$67.06 
83	$31.98 	$36.12 	$40.14 	$46.40 	$54.47 	$64.67 	$67.07 
84	$32.93 	$37.31 	$41.31 	$46.85 	$55.29 	$65.45 	$67.59 
85	$33.82 	$37.56 	$41.34 	$47.59 	$56.14 	$66.16 	$68.33 
86	$35.39 	$39.28 	$42.96 	$48.49 	$56.82 	$67.39 	$69.76 
87	$35.78 	$39.29 	$42.97 	$48.50 	$57.56 	$67.45 	$69.87 
88	$37.61 	$40.55 	$44.73 	$50.07 	$58.31 	$68.15 	$71.31 
89	$38.93 	$41.30 	$45.19 	$50.23 	$59.03 	$68.85 	$72.79 
90	$40.54 	$42.68 	$46.25 	$51.22 	$59.31 	$69.80 	$72.85 
91	$40.55 	$42.69 	$46.26 	$51.23 	$59.93 	$69.80 	$72.93 
92	$41.83 	$43.49 	$46.94 	$51.51 	$60.71 	$69.81 	$73.71 
93	$42.38 	$44.33 	$48.29 	$52.22 	$61.18 	$69.82 	$74.47 
94	$43.00 	$45.07 	$48.52 	$52.89 	$61.90 	$69.83 	$75.24 
95	$44.00 	$45.90 	$48.85 	$53.60 	$62.32 	$70.07 	$76.04 
96	$44.98 	$46.21 	$50.64 	$54.72 	$62.67 	$70.56 	$77.51 
97	$46.02 	$47.56 	$51.13 	$55.06 	$63.42 	$70.57 	$77.57 
98	$47.08 	$47.87 	$51.39 	$55.72 	$64.13 	$71.09 	$78.35 
99	$48.11 	$48.63 	$52.88 	$56.41 	$64.88 	$71.80 	$79.11 
100	$49.00 	$49.43 	$53.33 	$57.26 	$65.59 	$72.52 	$79.89 
101	$49.01 	$49.44 	$53.34 	$57.27 	$65.60 	$72.53 	$79.90 
102	$49.01 	$49.56 	$53.43 	$57.28 	$65.61 	$72.54 	$79.91 
103	$50.31 	$50.81 	$54.60 	$57.77 	$66.38 	$73.11 	$79.92 
104	$50.61 	$51.07 	$54.74 	$58.38 	$66.58 	$73.32 	$80.63 
105	$51.44 	$51.82 	$55.37 	$59.59 	$67.60 	$73.75 	$81.33 
106	$52.28 	$52.61 	$55.99 	$59.60 	$67.62 	$74.41 	$82.08 
107	$53.06 	$53.39 	$57.20 	$60.78 	$68.22 	$75.06 	$83.54 
108	$53.81 	$54.15 	$57.29 	$60.81 	$68.85 	$75.72 	$83.55 
109	$54.90 	$54.91 	$57.91 	$61.41 	$69.45 	$76.37 	$84.29 
110	$55.25 	$55.71 	$58.57 	$62.00 	$70.14 	$77.06 	$85.02 
111	$55.87 	$56.33 	$60.44 	$63.20 	$70.72 	$78.35 	$86.86 
112	$57.02 	$57.49 	$60.44 	$63.21 	$71.33 	$78.35 	$86.87 
113	$57.07 	$57.54 	$61.11 	$63.79 	$71.96 	$79.00 	$88.44 
114	$57.67 	$58.73 	$62.39 	$65.03 	$73.18 	$80.33 	$89.02 
115	$58.30 	$59.40 	$62.40 	$65.21 	$73.19 	$80.33 	$89.03 
116	$58.91 	$59.63 	$63.77 	$65.50 	$73.68 	$81.59 	$89.59 
117	$59.50 	$60.26 	$63.77 	$66.71 	$74.28 	$82.11 	$91.03 
118	$60.12 	$61.49 	$63.84 	$66.91 	$74.88 	$82.12 	$91.84 
119	$60.75 	$61.56 	$65.11 	$67.29 	$75.52 	$82.76 	$92.93 
120	$62.40 	$63.05 	$65.78 	$67.92 	$76.13 	$83.41 	$93.46 
121	$62.48 	$63.05 	$65.84 	$68.40 	$76.62 	$83.87 	$93.47 
122	$62.91 	$63.66 	$66.47 	$69.01 	$77.21 	$85.19 	$94.23 
123	$63.55 	$63.72 	$67.82 	$69.60 	$77.82 	$85.40 	$94.96 
124	$64.15 	$64.96 	$68.52 	$70.24 	$78.46 	$85.82 	$96.40 
125	$64.80 	$64.97 	$68.54 	$70.85 	$79.07 	$86.47 	$96.41 
126	$66.03 	$66.23 	$70.56 	$71.31 	$79.53 	$87.58 	$98.87 
127	$66.11 	$66.26 	$70.58 	$71.91 	$80.13 	$87.59 	$98.88 
128	$66.72 	$66.74 	$71.27 	$72.54 	$81.35 	$89.16 	$100.36 
129	$67.99 	$68.25 	$71.96 	$73.17 	$81.36 	$89.17 	$100.37 
130	$68.01 	$68.26 	$72.61 	$73.73 	$81.95 	$89.48 	$101.86 
131	$68.63 	$68.69 	$73.52 	$74.23 	$82.39 	$90.57 	$101.90 
132	$69.30 	$70.02 	$73.53 	$74.84 	$83.01 	$90.58 	$102.71 
133	$69.94 	$70.13 	$74.01 	$75.44 	$83.59 	$91.21 	$102.72 
134	$70.57 	$70.67 	$74.75 	$76.09 	$84.23 	$91.84 	$103.17 
135	$71.11 	$72.06 	$75.41 	$76.71 	$84.92 	$92.52 	$104.65 
136	$71.70 	$72.92 	$77.36 	$77.36 	$85.60 	$93.20 	$104.68 
137	$72.32 	$72.93 	$78.67 	$78.68 	$86.09 	$93.77 	$105.37 
138	$72.98 	$74.08 	$79.06 	$79.31 	$87.62 	$95.45 	$107.28 
139	$73.65 	$74.83 	$79.07 	$79.33 	$87.88 	$95.45 	$107.29 
140	$74.30 	$75.04 	$79.08 	$79.95 	$88.33 	$95.86 	$108.13 
141	$74.96 	$75.53 	$80.54 	$80.59 	$88.81 	$96.34 	$108.14 
142	$75.26 	$76.24 	$80.55 	$81.88 	$89.48 	$97.00 	$109.58 
143	$75.92 	$76.93 	$81.27 	$81.89 	$90.15 	$97.69 	$109.58 
144	$77.33 	$79.13 	$83.64 	$83.66 	$90.85 	$99.29 	$111.06 
145	$77.59 	$79.91 	$83.65 	$83.84 	$91.53 	$99.65 	$111.07 
146	$77.60 	$79.92 	$83.66 	$83.84 	$92.21 	$99.66 	$111.78 
147	$78.68 	$79.95 	$84.32 	$84.51 	$92.86 	$100.34 	$112.54 
148	$79.64 	$80.53 	$85.22 	$85.23 	$94.24 	$101.01 	$113.29 
149	$79.79 	$81.24 	$85.83 	$85.85 	$94.45 	$101.65 	$114.56 
150	$79.80 	$81.97 	$87.24 	$88.71 	$94.94 	$102.36 	$115.31 
