Weight (in Lbs )	Zone-2	Zone-3	Zone-4	Zone-5	Zone-6	Zone-7	Zone-8
1	$11.01 	$11.32 	$12.02 	$12.38 	$12.69 	$12.80 	$12.95 
2	$11.60 	$12.50 	$13.13 	$13.34 	$13.76 	$14.15 	$14.33 
3	$11.93 	$12.89 	$13.64 	$14.06 	$14.48 	$14.85 	$15.40 
4	$12.17 	$13.03 	$13.96 	$14.63 	$14.94 	$15.68 	$16.25 
5	$12.48 	$13.46 	$14.43 	$15.23 	$15.73 	$16.35 	$17.07 
6	$12.77 	$13.73 	$14.69 	$15.57 	$16.01 	$16.69 	$17.33 
7	$13.29 	$13.98 	$14.98 	$15.95 	$16.25 	$17.04 	$17.98 
8	$13.48 	$14.26 	$15.27 	$16.18 	$16.62 	$17.44 	$18.47 
9	$13.64 	$14.40 	$15.43 	$16.29 	$16.90 	$18.02 	$19.26 
10	$13.87 	$14.51 	$15.54 	$16.64 	$17.18 	$18.86 	$20.30 
11	$14.32 	$14.75 	$15.80 	$16.72 	$17.65 	$20.13 	$21.40 
12	$14.50 	$15.22 	$15.92 	$16.91 	$18.14 	$20.80 	$22.23 
13	$14.65 	$15.39 	$16.19 	$17.30 	$18.59 	$22.03 	$23.45 
14	$14.94 	$15.59 	$16.20 	$17.50 	$19.47 	$23.17 	$24.78 
15	$15.00 	$15.98 	$16.50 	$18.13 	$20.35 	$23.78 	$26.07 
16	$15.24 	$16.21 	$16.61 	$18.23 	$20.89 	$24.63 	$26.74 
17	$15.44 	$16.60 	$16.88 	$18.78 	$21.62 	$25.92 	$27.40 
18	$15.45 	$16.64 	$16.89 	$19.37 	$22.38 	$26.37 	$28.79 
19	$15.73 	$17.23 	$17.56 	$20.05 	$23.05 	$27.20 	$29.66 
20	$15.90 	$17.47 	$17.77 	$20.87 	$23.71 	$28.07 	$31.11 
21	$16.26 	$17.87 	$18.38 	$20.90 	$24.53 	$29.00 	$31.96 
22	$16.42 	$18.15 	$18.92 	$21.71 	$25.39 	$29.93 	$33.20 
23	$16.47 	$18.43 	$19.41 	$22.23 	$26.43 	$30.82 	$34.37 
24	$16.81 	$19.04 	$19.92 	$22.82 	$27.30 	$31.47 	$36.14 
25	$16.97 	$19.21 	$20.12 	$23.38 	$27.70 	$32.68 	$36.77 
26	$17.60 	$19.74 	$20.81 	$23.99 	$28.58 	$33.88 	$38.13 
27	$17.95 	$20.12 	$20.99 	$24.33 	$29.59 	$34.43 	$38.72 
28	$18.20 	$20.52 	$21.96 	$25.68 	$30.86 	$35.81 	$40.41 
29	$18.37 	$20.85 	$22.48 	$25.97 	$31.64 	$36.86 	$41.04 
30	$18.66 	$21.27 	$23.20 	$26.86 	$32.09 	$37.02 	$42.60 
31	$19.00 	$21.65 	$23.28 	$26.93 	$32.65 	$37.92 	$43.84 
32	$19.01 	$21.66 	$23.42 	$26.94 	$32.93 	$37.94 	$44.67 
33	$19.11 	$21.92 	$24.10 	$28.04 	$34.48 	$39.08 	$45.38 
34	$19.35 	$22.34 	$24.96 	$28.89 	$34.85 	$40.14 	$47.38 
35	$19.64 	$23.33 	$25.46 	$29.50 	$35.31 	$41.08 	$48.11 
36	$19.88 	$23.34 	$25.85 	$30.39 	$36.64 	$42.35 	$49.43 
37	$20.12 	$23.60 	$26.29 	$30.98 	$36.79 	$43.60 	$49.87 
38	$20.38 	$23.90 	$26.79 	$31.64 	$37.55 	$44.14 	$50.73 
39	$20.77 	$24.50 	$27.32 	$31.96 	$38.75 	$45.34 	$51.71 
40	$20.79 	$24.58 	$27.40 	$32.28 	$39.13 	$45.35 	$52.04 
41	$21.02 	$25.28 	$28.03 	$32.99 	$40.27 	$46.64 	$53.53 
42	$21.11 	$25.56 	$28.97 	$33.36 	$40.78 	$47.36 	$53.79 
43	$21.52 	$25.88 	$29.02 	$34.58 	$42.42 	$48.95 	$55.15 
44	$21.77 	$26.31 	$29.92 	$35.43 	$42.76 	$49.92 	$55.69 
45	$21.79 	$26.44 	$29.93 	$35.44 	$43.03 	$51.28 	$56.06 
46	$22.19 	$26.45 	$30.51 	$36.04 	$44.07 	$51.79 	$57.45 
47	$22.27 	$26.75 	$30.94 	$36.27 	$44.62 	$52.72 	$58.31 
48	$22.28 	$26.96 	$31.27 	$37.14 	$45.23 	$53.17 	$59.18 
49	$22.28 	$26.97 	$31.28 	$37.15 	$45.54 	$54.05 	$59.51 
50	$22.29 	$26.98 	$31.28 	$37.17 	$45.55 	$54.18 	$59.81 
51	$22.32 	$27.02 	$31.32 	$37.22 	$45.56 	$54.19 	$59.88 
52	$22.33 	$27.03 	$31.34 	$37.22 	$45.57 	$54.20 	$60.43 
53	$22.34 	$27.04 	$31.35 	$37.27 	$45.58 	$54.21 	$60.44 
54	$22.35 	$27.05 	$31.40 	$37.49 	$45.59 	$54.22 	$60.87 
55	$22.36 	$27.06 	$31.41 	$37.98 	$45.59 	$54.23 	$60.99 
56	$22.37 	$27.07 	$31.45 	$37.99 	$45.60 	$54.23 	$61.70 
57	$22.70 	$27.41 	$31.78 	$39.02 	$45.61 	$54.24 	$62.30 
58	$22.71 	$27.41 	$31.79 	$39.02 	$45.62 	$54.25 	$63.36 
59	$22.87 	$27.43 	$32.17 	$39.04 	$46.31 	$54.34 	$63.79 
60	$23.25 	$28.12 	$32.64 	$40.30 	$46.70 	$54.63 	$64.17 
61	$23.27 	$28.43 	$32.65 	$40.38 	$47.09 	$54.92 	$64.54 
62	$24.07 	$29.93 	$33.41 	$41.43 	$47.38 	$55.71 	$64.92 
63	$24.08 	$29.94 	$33.42 	$41.44 	$47.67 	$55.81 	$65.29 
64	$24.62 	$30.47 	$34.19 	$41.46 	$48.39 	$56.15 	$66.23 
65	$24.85 	$30.97 	$34.20 	$41.53 	$48.79 	$56.27 	$66.34 
66	$25.16 	$31.19 	$34.21 	$41.54 	$48.82 	$56.43 	$66.61 
