Weight (in Lbs)	Zone -02	Zone -03	Zone -04	Zone -05	Zone -06	Zone -07	Zone -08
FedEx Envelope	$18.64 	$22.41 	$27.92 	$29.98 	$30.58 	$33.20 	$34.71 
FedEx 1 Lb Pak	$21.18 	$28.86 	$39.23 	$44.03 	$47.72 	$51.87 	$54.68 
FedEx 2 Lbs Pak	$22.37 	$30.58 	$44.25 	$48.73 	$53.89 	$57.18 	$61.02 
1	$21.18 	$28.86 	$39.23 	$44.03 	$47.72 	$51.87 	$54.68 
2	$22.37 	$30.58 	$44.25 	$48.73 	$53.89 	$57.18 	$61.02 
3	$24.31 	$32.34 	$49.08 	$53.99 	$57.59 	$62.93 	$66.71 
4	$26.22 	$34.29 	$53.17 	$59.16 	$65.27 	$68.48 	$73.04 
5	$26.69 	$34.59 	$56.56 	$64.32 	$66.71 	$69.99 	$73.93 
6	$28.16 	$39.40 	$62.92 	$68.57 	$75.44 	$78.19 	$83.18 
7	$29.07 	$41.11 	$67.34 	$74.53 	$80.80 	$84.08 	$88.89 
8	$30.60 	$42.29 	$71.11 	$79.34 	$86.24 	$90.03 	$94.45 
9	$31.65 	$44.12 	$75.79 	$84.42 	$89.09 	$95.99 	$100.55 
10	$31.81 	$45.88 	$77.16 	$85.76 	$89.78 	$97.22 	$101.79 
11	$34.10 	$47.87 	$84.97 	$95.56 	$103.43 	$108.59 	$111.86 
12	$35.24 	$50.31 	$89.65 	$99.93 	$108.49 	$114.50 	$117.83 
13	$35.63 	$52.83 	$93.92 	$104.56 	$112.89 	$120.56 	$123.52 
14	$37.01 	$54.89 	$98.70 	$108.98 	$117.26 	$125.81 	$129.64 
15	$38.43 	$56.80 	$101.25 	$113.38 	$119.42 	$129.98 	$134.49 
16	$39.24 	$57.32 	$107.02 	$117.56 	$125.63 	$133.37 	$137.93 
17	$41.24 	$59.21 	$110.06 	$121.35 	$128.55 	$136.40 	$140.87 
18	$42.47 	$59.88 	$113.37 	$123.86 	$131.38 	$139.32 	$144.63 
19	$43.61 	$62.42 	$116.07 	$126.47 	$134.34 	$142.44 	$148.36 
20	$44.42 	$64.27 	$119.21 	$131.36 	$135.17 	$145.64 	$148.97 
21	$45.61 	$65.51 	$126.33 	$135.68 	$146.00 	$152.43 	$160.91 
22	$47.21 	$66.90 	$129.59 	$144.06 	$151.32 	$163.35 	$167.73 
23	$48.02 	$68.18 	$133.19 	$147.69 	$152.27 	$165.11 	$168.41 
