Weight (in Lbs)	Zone -02	Zone -03	Zone -04	Zone -05	Zone -06	Zone -07	Zone -08
FedEx Envelope	$19.01 	$22.86 	$29.18 	$31.20 	$31.83 	$35.03 	$36.63 
FedEx 1 Lb Pak	$22.73 	$33.66 	$44.02 	$49.31 	$51.92 	$58.35 	$59.96 
FedEx 2 Lbs Pak	$23.03 	$34.09 	$48.07 	$52.94 	$57.11 	$60.75 	$66.98 
1	$22.73 	$33.66 	$44.02 	$49.31 	$51.92 	$58.35 	$59.96 
2	$23.03 	$34.09 	$48.07 	$52.94 	$57.11 	$60.75 	$66.98 
3	$25.79 	$37.55 	$53.23 	$60.51 	$65.07 	$70.71 	$73.22 
4	$27.80 	$39.34 	$59.54 	$66.26 	$68.67 	$76.79 	$79.68 
5	$28.40 	$39.52 	$60.79 	$66.85 	$69.70 	$77.86 	$80.79 
6	$32.18 	$42.58 	$68.36 	$78.20 	$81.79 	$89.30 	$93.15 
7	$32.56 	$44.98 	$71.42 	$82.03 	$85.15 	$93.20 	$99.51 
8	$32.85 	$46.26 	$74.51 	$87.38 	$91.42 	$98.71 	$102.62 
9	$33.26 	$46.57 	$79.28 	$87.92 	$92.06 	$99.86 	$104.83 
10	$33.56 	$46.93 	$80.09 	$89.94 	$93.71 	$101.48 	$106.25 
11	$38.38 	$54.07 	$95.19 	$110.64 	$115.52 	$119.47 	$121.86 
12	$39.95 	$55.86 	$97.34 	$115.82 	$120.38 	$127.10 	$129.65 
13	$40.50 	$57.95 	$99.53 	$118.38 	$120.86 	$133.22 	$135.89 
14	$41.18 	$58.26 	$103.88 	$118.64 	$121.02 	$133.84 	$136.52 
15	$41.48 	$58.58 	$105.68 	$119.42 	$121.81 	$134.52 	$137.21 
16	$43.00 	$64.62 	$113.12 	$134.28 	$137.37 	$148.11 	$151.08 
17	$46.70 	$66.78 	$119.43 	$135.77 	$139.49 	$149.48 	$152.47 
18	$47.08 	$67.00 	$120.16 	$135.93 	$139.70 	$149.70 	$152.70 
19	$47.39 	$67.29 	$123.35 	$136.09 	$139.86 	$150.77 	$153.92 
20	$47.63 	$67.58 	$124.42 	$137.09 	$140.81 	$151.70 	$155.45 
21	$49.71 	$70.67 	$131.85 	$141.59 	$148.93 	$158.78 	$168.59 
22	$51.99 	$74.60 	$135.25 	$151.32 	$154.35 	$170.89 	$174.31 
23	$52.28 	$74.99 	$139.00 	$156.44 	$163.48 	$175.73 	$179.24 
24	$53.66 	$75.30 	$140.99 	$158.86 	$164.39 	$179.28 	$182.87 
25	$53.94 	$75.61 	$145.70 	$159.41 	$165.13 	$179.73 	$183.33 
26	$57.25 	$81.61 	$154.14 	$170.42 	$179.00 	$184.24 	$192.46 
27	$57.59 	$82.22 	$157.95 	$171.52 	$182.66 	$188.74 	$201.08 
28	$58.79 	$82.50 	$162.20 	$176.56 	$183.02 	$192.93 	$206.06 
29	$59.09 	$82.81 	$166.00 	$177.07 	$183.18 	$198.48 	$207.14 
30	$59.36 	$83.07 	$166.39 	$178.62 	$183.98 	$199.34 	$209.45 
31	$61.61 	$85.41 	$173.33 	$186.60 	$199.69 	$206.16 	$215.25 
32	$63.38 	$87.44 	$177.01 	$187.40 	$201.26 	$207.15 	$218.72 
33	$64.88 	$92.39 	$180.52 	$199.94 	$204.85 	$219.34 	$227.42 
34	$66.28 	$92.88 	$184.49 	$201.20 	$205.22 	$223.97 	$228.45 
35	$67.70 	$93.16 	$184.90 	$201.42 	$205.58 	$226.05 	$230.57 
36	$70.50 	$94.99 	$192.44 	$205.48 	$212.78 	$229.37 	$235.47 
37	$70.79 	$101.36 	$199.46 	$217.80 	$225.64 	$238.55 	$243.47 
38	$70.96 	$101.99 	$200.29 	$219.04 	$226.93 	$239.48 	$244.27 
39	$71.24 	$102.26 	$203.83 	$219.19 	$227.09 	$243.74 	$248.62 
40	$71.42 	$102.54 	$204.20 	$219.47 	$227.80 	$244.28 	$249.17 
41	$74.57 	$107.42 	$211.50 	$225.10 	$240.32 	$247.74 	$259.98 
42	$75.66 	$107.91 	$214.28 	$228.53 	$241.58 	$248.66 	$265.72 
43	$77.69 	$109.63 	$219.92 	$234.66 	$245.97 	$267.08 	$280.34 
44	$79.44 	$115.38 	$223.69 	$241.07 	$250.28 	$268.96 	$281.81 
45	$83.22 	$119.86 	$226.20 	$243.47 	$250.72 	$269.30 	$282.38 
46	$85.49 	$120.32 	$229.82 	$250.10 	$259.40 	$272.37 	$293.31 
47	$86.53 	$122.07 	$230.18 	$251.09 	$260.61 	$273.17 	$294.41 
48	$86.81 	$122.32 	$230.34 	$252.99 	$260.77 	$278.14 	$294.57 
49	$87.02 	$122.47 	$230.50 	$253.19 	$260.93 	$278.65 	$294.72 
50	$87.53 	$123.16 	$231.23 	$254.32 	$262.04 	$279.79 	$295.58 
51	$97.39 	$136.88 	$245.62 	$276.97 	$284.39 	$302.59 	$312.58 
52	$98.87 	$142.48 	$263.18 	$282.40 	$293.12 	$314.42 	$336.58 
53	$99.95 	$144.76 	$267.13 	$287.96 	$293.99 	$331.30 	$339.33 
54	$100.25 	$145.07 	$271.42 	$288.53 	$294.30 	$332.99 	$339.65 
55	$100.62 	$147.58 	$274.86 	$289.24 	$295.03 	$333.86 	$345.16 
56	$107.92 	$155.85 	$280.11 	$299.24 	$309.47 	$334.19 	$351.09 
57	$108.84 	$157.41 	$280.64 	$303.08 	$315.25 	$339.20 	$356.66 
58	$109.16 	$158.07 	$280.96 	$307.31 	$321.83 	$345.54 	$357.22 
59	$109.46 	$158.38 	$281.27 	$312.11 	$322.49 	$350.53 	$357.54 
60	$109.78 	$158.69 	$282.27 	$312.59 	$323.17 	$351.80 	$358.84 
61	$115.50 	$164.29 	$299.93 	$321.97 	$336.50 	$363.41 	$384.67 
62	$116.83 	$169.37 	$304.49 	$326.10 	$337.90 	$373.05 	$387.70 
63	$117.16 	$169.90 	$307.03 	$326.59 	$339.49 	$374.02 	$393.68 
64	$123.03 	$175.28 	$307.52 	$336.06 	$350.19 	$380.88 	$394.77 
65	$123.62 	$176.47 	$310.18 	$339.86 	$352.41 	$386.87 	$405.09 
66	$123.94 	$176.96 	$321.37 	$340.76 	$363.42 	$393.66 	$411.98 
67	$125.13 	$186.58 	$324.37 	$356.14 	$364.52 	$402.94 	$423.69 
68	$127.94 	$187.67 	$324.68 	$357.68 	$364.84 	$404.24 	$424.91 
69	$128.25 	$187.97 	$325.00 	$358.05 	$365.21 	$408.62 	$431.19 
70	$128.57 	$188.29 	$325.31 	$358.36 	$365.53 	$409.16 	$435.10 
71	$132.23 	$188.60 	$326.21 	$359.00 	$366.19 	$419.82 	$436.02 
72	$133.09 	$194.14 	$341.60 	$371.27 	$378.70 	$422.10 	$443.03 
73	$133.40 	$198.19 	$343.14 	$372.50 	$379.96 	$429.56 	$445.32 
74	$133.71 	$198.60 	$343.46 	$372.81 	$380.27 	$435.08 	$445.64 
75	$134.33 	$199.23 	$344.09 	$373.43 	$380.90 	$435.72 	$446.28 
76	$141.26 	$204.76 	$348.83 	$376.28 	$383.81 	$438.98 	$456.32 
77	$141.96 	$211.61 	$349.46 	$392.19 	$400.04 	$439.74 	$457.33 
78	$142.58 	$212.30 	$350.09 	$398.05 	$410.77 	$449.36 	$458.35 
79	$143.21 	$212.93 	$354.25 	$404.15 	$417.02 	$469.19 	$478.58 
80	$143.83 	$213.55 	$355.34 	$405.48 	$418.24 	$471.19 	$480.62 
81	$148.78 	$214.17 	$375.76 	$431.00 	$441.01 	$483.33 	$493.00 
82	$149.40 	$214.80 	$377.81 	$433.56 	$443.29 	$484.55 	$494.24 
83	$150.02 	$215.42 	$378.43 	$434.19 	$443.92 	$485.18 	$494.89 
84	$150.65 	$216.04 	$379.06 	$434.82 	$444.55 	$485.90 	$495.62 
85	$151.28 	$216.67 	$379.69 	$435.45 	$445.18 	$494.56 	$505.83 
86	$159.61 	$229.13 	$380.81 	$437.06 	$445.81 	$496.97 	$506.91 
87	$160.46 	$234.98 	$394.89 	$439.07 	$447.86 	$497.75 	$507.71 
88	$161.08 	$235.60 	$396.30 	$440.05 	$448.85 	$498.82 	$508.80 
89	$161.70 	$236.22 	$397.74 	$444.53 	$468.74 	$509.33 	$530.66 
90	$162.32 	$236.84 	$412.73 	$445.16 	$470.73 	$528.92 	$540.52 
91	$169.74 	$245.57 	$414.23 	$445.79 	$472.70 	$530.89 	$541.51 
92	$170.49 	$246.45 	$414.87 	$446.42 	$479.78 	$531.51 	$542.15 
93	$171.11 	$247.05 	$427.31 	$447.05 	$480.50 	$532.14 	$542.79 
94	$171.74 	$247.65 	$428.57 	$447.68 	$481.13 	$532.77 	$543.43 
95	$172.36 	$248.25 	$429.20 	$448.82 	$481.76 	$533.40 	$544.07 
96	$177.60 	$248.85 	$431.09 	$471.39 	$485.41 	$534.05 	$544.73 
97	$178.20 	$249.45 	$432.33 	$475.37 	$490.37 	$534.67 	$545.37 
98	$178.80 	$250.05 	$432.96 	$476.00 	$501.53 	$535.94 	$546.66 
99	$179.40 	$250.65 	$441.45 	$481.80 	$502.65 	$561.17 	$572.39 
