Weight (in Lbs )	Zone-2	Zone-3	Zone-4	Zone-5	Zone-6	Zone-7	Zone-8
1	$7.41 	$7.72 	$8.42 	$8.78 	$9.09 	$9.20 	$9.35 
2	$8.00 	$8.90 	$9.53 	$9.74 	$10.16 	$10.55 	$10.73 
3	$8.33 	$9.29 	$10.04 	$10.46 	$10.88 	$11.25 	$11.80 
4	$8.57 	$9.43 	$10.36 	$11.03 	$11.34 	$12.08 	$12.65 
5	$8.88 	$9.86 	$10.83 	$11.63 	$12.13 	$12.75 	$13.47 
6	$9.17 	$10.13 	$11.09 	$11.97 	$12.41 	$13.09 	$13.73 
7	$9.69 	$10.38 	$11.38 	$12.35 	$12.65 	$13.44 	$14.38 
8	$9.88 	$10.66 	$11.67 	$12.58 	$13.02 	$13.84 	$14.87 
9	$10.04 	$10.80 	$11.83 	$12.69 	$13.30 	$14.42 	$15.66 
10	$13.55 	$14.39 	$15.76 	$17.21 	$17.92 	$20.13 	$22.03 
11	$14.15 	$14.72 	$16.10 	$17.32 	$18.54 	$21.82 	$23.49 
12	$14.38 	$15.34 	$16.26 	$17.57 	$19.20 	$22.70 	$24.59 
13	$14.58 	$15.56 	$16.61 	$18.08 	$19.79 	$24.33 	$26.19 
14	$14.97 	$15.82 	$16.63 	$18.34 	$20.94 	$25.82 	$27.95 
15	$15.05 	$16.34 	$17.02 	$19.17 	$22.10 	$26.63 	$29.66 
16	$15.82 	$17.15 	$17.69 	$19.90 	$23.51 	$28.60 	$31.46 
17	$16.10 	$17.67 	$18.06 	$20.65 	$24.50 	$30.35 	$32.36 
18	$16.12 	$17.73 	$18.07 	$21.44 	$25.54 	$30.96 	$34.25 
19	$16.50 	$18.53 	$18.98 	$22.37 	$26.44 	$32.09 	$35.43 
20	$16.73 	$18.86 	$19.26 	$23.48 	$27.34 	$33.27 	$37.41 
21	$17.22 	$19.40 	$20.10 	$23.52 	$28.47 	$34.53 	$38.57 
22	$17.42 	$19.79 	$20.83 	$24.62 	$29.63 	$35.81 	$40.26 
23	$17.50 	$20.17 	$21.50 	$25.34 	$31.05 	$37.01 	$41.84 
24	$17.96 	$20.99 	$22.19 	$26.14 	$32.22 	$37.90 	$44.24 
25	$18.17 	$21.22 	$22.46 	$26.90 	$32.78 	$39.55 	$45.11 
26	$19.04 	$21.94 	$23.40 	$27.73 	$33.98 	$41.18 	$46.96 
27	$19.50 	$22.46 	$23.64 	$28.19 	$35.34 	$41.92 	$47.75 
28	$19.85 	$23.00 	$24.97 	$30.02 	$37.07 	$43.80 	$50.06 
29	$20.08 	$23.46 	$25.68 	$30.42 	$38.13 	$45.23 	$50.91 
30	$20.48 	$24.02 	$26.66 	$31.63 	$38.75 	$45.44 	$53.03 
31	$20.93 	$24.55 	$26.77 	$31.73 	$39.51 	$46.67 	$54.72 
32	$20.95 	$24.56 	$26.95 	$31.73 	$39.89 	$46.70 	$55.85 
33	$21.09 	$24.91 	$27.88 	$33.23 	$41.99 	$48.25 	$56.82 
34	$21.42 	$25.48 	$29.04 	$34.39 	$42.49 	$49.69 	$59.54 
35	$21.81 	$26.83 	$29.73 	$35.23 	$43.12 	$50.97 	$60.53 
36	$22.14 	$26.84 	$30.25 	$36.43 	$44.93 	$52.70 	$62.33 
37	$22.46 	$27.19 	$30.85 	$37.23 	$45.14 	$54.39 	$62.92 
38	$22.82 	$27.61 	$31.54 	$38.13 	$46.16 	$55.13 	$64.10 
39	$23.35 	$28.41 	$32.26 	$38.57 	$47.79 	$56.76 	$65.42 
40	$23.37 	$28.53 	$32.36 	$39.01 	$48.32 	$56.78 	$65.87 
41	$23.68 	$29.48 	$33.22 	$39.96 	$49.86 	$58.53 	$67.91 
42	$23.81 	$29.86 	$34.50 	$40.47 	$50.56 	$59.51 	$68.26 
43	$24.36 	$30.29 	$34.56 	$42.13 	$52.79 	$61.68 	$70.11 
44	$24.71 	$30.88 	$35.78 	$43.29 	$53.25 	$62.99 	$70.84 
45	$24.73 	$31.06 	$35.80 	$43.30 	$53.62 	$64.85 	$71.34 
46	$25.27 	$31.08 	$36.59 	$44.11 	$55.04 	$65.53 	$73.22 
47	$25.38 	$31.47 	$37.18 	$44.42 	$55.78 	$66.80 	$74.40 
48	$25.40 	$31.77 	$37.62 	$45.61 	$56.62 	$67.41 	$75.59 
49	$25.41 	$31.78 	$37.64 	$45.63 	$57.03 	$68.62 	$76.03 
50	$25.42 	$31.80 	$37.65 	$45.65 	$57.04 	$68.79 	$76.45 
51	$25.45 	$31.84 	$37.69 	$45.71 	$57.06 	$68.80 	$76.54 
52	$25.47 	$31.86 	$37.72 	$45.72 	$57.07 	$68.81 	$77.28 
53	$25.48 	$31.87 	$37.73 	$45.78 	$57.09 	$68.82 	$77.29 
54	$25.49 	$31.90 	$37.81 	$46.08 	$57.10 	$68.83 	$77.88 
55	$25.51 	$31.91 	$37.82 	$46.76 	$57.11 	$68.85 	$78.05 
56	$25.52 	$31.91 	$37.86 	$46.76 	$57.12 	$68.86 	$79.02 
57	$25.97 	$32.37 	$38.32 	$48.16 	$57.13 	$68.87 	$79.82 
58	$25.98 	$32.38 	$38.33 	$48.17 	$57.14 	$68.89 	$81.27 
59	$26.20 	$32.41 	$38.84 	$48.20 	$58.09 	$69.00 	$81.86 
60	$26.71 	$33.34 	$39.49 	$49.91 	$58.62 	$69.40 	$82.37 
61	$26.75 	$33.77 	$39.51 	$50.02 	$59.14 	$69.79 	$82.87 
62	$27.83 	$35.81 	$40.54 	$51.44 	$59.54 	$70.87 	$83.39 
63	$27.85 	$35.82 	$40.55 	$51.45 	$59.93 	$71.00 	$83.89 
64	$28.58 	$36.53 	$41.60 	$51.49 	$60.91 	$71.47 	$85.18 
65	$28.89 	$37.22 	$41.62 	$51.58 	$61.45 	$71.62 	$85.32 
66	$29.31 	$37.52 	$41.63 	$51.59 	$61.49 	$71.85 	$85.69 
67	$29.42 	$37.54 	$41.63 	$51.60 	$61.98 	$72.20 	$85.70 
68	$29.66 	$38.59 	$44.15 	$52.76 	$62.31 	$72.61 	$85.72 
69	$29.99 	$38.60 	$44.15 	$53.15 	$62.64 	$72.63 	$86.16 
70	$30.13 	$39.04 	$44.69 	$54.79 	$63.89 	$72.64 	$86.90 
