Weight (in Lbs)	Zone -02	Zone -03	Zone -04	Zone -05	Zone -06	Zone -07	Zone -08
FedEx Envelope	$13.48 	$13.75 	$14.03 	$15.69 	$17.94 	$18.67 	$20.74 
FedEx 1 Lb Pak	$13.48 	$13.75 	$14.03 	$15.69 	$17.94 	$18.67 	$20.74 
FedEx 2 Lbs Pak	$13.72 	$14.00 	$14.29 	$15.97 	$19.13 	$20.81 	$24.08 
1	$13.48 	$13.75 	$14.03 	$15.69 	$17.94 	$18.67 	$20.74 
2	$13.72 	$14.00 	$14.29 	$15.97 	$19.13 	$20.81 	$24.08 
3	$14.58 	$15.54 	$15.86 	$17.71 	$22.23 	$23.29 	$27.19 
4	$14.82 	$16.05 	$17.24 	$19.90 	$23.39 	$26.61 	$31.10 
5	$15.08 	$16.30 	$18.18 	$20.72 	$26.54 	$29.37 	$34.89 
6	$16.30 	$17.77 	$20.77 	$24.41 	$31.18 	$32.63 	$39.69 
7	$16.56 	$19.50 	$22.45 	$24.89 	$32.90 	$36.92 	$41.33 
8	$17.18 	$20.61 	$23.21 	$26.75 	$36.11 	$40.41 	$45.13 
9	$17.36 	$20.78 	$24.77 	$28.90 	$38.72 	$44.34 	$51.25 
10	$17.53 	$20.95 	$26.13 	$31.07 	$41.13 	$47.71 	$55.26 
11	$20.81 	$23.13 	$28.02 	$32.83 	$43.90 	$51.17 	$59.21 
12	$21.26 	$26.48 	$30.57 	$36.63 	$46.62 	$54.42 	$62.57 
13	$23.18 	$27.85 	$32.09 	$38.77 	$49.51 	$57.30 	$66.36 
14	$23.44 	$28.14 	$33.86 	$41.08 	$52.02 	$60.34 	$69.80 
15	$23.70 	$29.90 	$35.38 	$42.86 	$54.85 	$62.87 	$73.73 
16	$25.01 	$30.83 	$36.61 	$44.23 	$57.15 	$66.14 	$77.02 
17	$25.82 	$31.81 	$38.13 	$46.38 	$59.45 	$69.46 	$80.47 
18	$27.45 	$32.81 	$39.59 	$48.12 	$61.58 	$72.61 	$83.20 
19	$28.15 	$33.93 	$40.97 	$49.87 	$63.66 	$75.59 	$86.22 
20	$28.42 	$35.13 	$42.94 	$51.94 	$66.02 	$78.46 	$89.90 
21	$29.11 	$35.30 	$43.14 	$52.15 	$69.17 	$81.22 	$92.85 
22	$31.21 	$38.54 	$46.29 	$55.45 	$71.58 	$84.15 	$96.31 
23	$32.56 	$39.42 	$48.02 	$57.06 	$74.52 	$86.90 	$97.19 
24	$33.39 	$40.94 	$49.23 	$59.21 	$76.98 	$89.90 	$97.63 
25	$33.63 	$42.14 	$50.86 	$61.24 	$79.15 	$92.94 	$106.30 
26	$35.76 	$43.30 	$52.53 	$63.22 	$81.62 	$96.14 	$109.53 
27	$36.92 	$44.38 	$54.50 	$65.34 	$83.76 	$99.52 	$112.94 
28	$38.04 	$45.74 	$55.87 	$66.99 	$91.31 	$102.56 	$116.56 
29	$39.15 	$46.86 	$57.49 	$68.73 	$94.01 	$105.61 	$120.20 
30	$39.42 	$48.13 	$59.07 	$70.87 	$97.00 	$108.38 	$123.64 
31	$40.07 	$49.54 	$59.33 	$72.50 	$99.97 	$108.69 	$126.99 
32	$41.98 	$50.86 	$62.73 	$74.42 	$102.45 	$114.78 	$130.62 
33	$43.16 	$52.17 	$64.10 	$76.45 	$105.43 	$117.76 	$134.13 
34	$44.02 	$52.43 	$65.55 	$78.30 	$107.15 	$120.53 	$138.20 
35	$44.87 	$54.75 	$67.45 	$80.27 	$107.34 	$123.57 	$138.62 
36	$46.14 	$55.98 	$69.01 	$80.55 	$107.74 	$126.10 	$144.67 
37	$46.39 	$56.38 	$70.23 	$83.98 	$115.85 	$128.63 	$147.98 
38	$46.65 	$56.63 	$72.25 	$85.97 	$118.28 	$131.22 	$150.75 
39	$46.90 	$56.87 	$73.47 	$87.86 	$121.09 	$133.59 	$151.04 
40	$47.11 	$57.14 	$73.73 	$88.66 	$121.38 	$136.41 	$156.50 
41	$51.22 	$62.21 	$76.38 	$91.81 	$125.94 	$138.94 	$159.84 
42	$52.13 	$63.73 	$78.10 	$94.17 	$128.63 	$141.86 	$163.30 
43	$53.14 	$65.05 	$79.56 	$95.92 	$131.22 	$145.02 	$167.10 
44	$54.00 	$65.50 	$81.34 	$97.90 	$133.59 	$148.12 	$170.68 
45	$54.26 	$65.85 	$81.59 	$100.04 	$133.83 	$151.20 	$174.13 
46	$55.30 	$66.02 	$84.69 	$101.78 	$136.51 	$154.20 	$178.30 
47	$55.47 	$66.19 	$86.21 	$103.98 	$137.79 	$157.34 	$181.83 
48	$55.64 	$66.36 	$87.02 	$105.71 	$137.97 	$160.45 	$184.64 
49	$55.81 	$66.53 	$87.27 	$107.69 	$138.14 	$162.04 	$184.93 
50	$55.99 	$66.82 	$87.53 	$107.97 	$138.38 	$162.35 	$185.72 
51	$59.58 	$72.62 	$91.94 	$111.62 	$143.16 	$168.57 	$201.42 
52	$60.00 	$73.75 	$93.66 	$111.99 	$160.20 	$171.93 	$204.70 
53	$62.31 	$78.06 	$95.04 	$118.21 	$161.91 	$172.29 	$208.30 
54	$62.66 	$78.88 	$95.38 	$120.41 	$162.27 	$179.38 	$208.66 
55	$63.34 	$79.22 	$98.39 	$122.19 	$162.69 	$180.10 	$215.82 
56	$63.67 	$79.56 	$98.74 	$124.40 	$170.79 	$180.84 	$216.54 
57	$64.30 	$79.90 	$101.21 	$126.31 	$171.61 	$195.50 	$223.81 
58	$64.64 	$80.25 	$101.55 	$128.29 	$177.02 	$199.49 	$227.46 
59	$64.98 	$80.59 	$101.90 	$129.90 	$177.56 	$202.62 	$231.66 
60	$65.33 	$80.94 	$102.23 	$130.24 	$178.04 	$202.96 	$235.85 
61	$68.89 	$86.99 	$107.65 	$134.66 	$178.49 	$209.55 	$239.62 
62	$70.02 	$87.61 	$109.37 	$136.51 	$187.38 	$213.16 	$240.01 
63	$71.77 	$88.57 	$109.71 	$138.65 	$193.25 	$216.58 	$247.54 
64	$72.10 	$90.30 	$110.05 	$140.50 	$196.27 	$220.00 	$251.50 
65	$72.70 	$92.70 	$114.16 	$141.97 	$196.62 	$223.41 	$255.06 
66	$73.04 	$93.02 	$114.58 	$142.31 	$197.97 	$226.45 	$259.42 
67	$73.38 	$94.27 	$114.92 	$142.65 	$198.31 	$226.79 	$263.49 
68	$73.72 	$94.62 	$118.92 	$148.11 	$198.65 	$227.14 	$267.19 
