Weight (in Lbs)	Zone -02	Zone -03	Zone -04	Zone -05	Zone -06	Zone -07	Zone -08
FedEx Envelope	$15.29 	$15.94 	$16.62 	$19.01 	$23.14 	$24.68 	$25.19 
FedEx 1 Lb Pak	$15.29 	$15.94 	$16.62 	$19.01 	$23.14 	$24.68 	$25.19 
FedEx 2 Lbs Pak	$15.90 	$16.72 	$17.26 	$20.65 	$26.09 	$28.96 	$30.48 
1	$15.29 	$15.94 	$16.62 	$19.01 	$23.14 	$24.68 	$25.19 
2	$15.90 	$16.72 	$17.26 	$20.65 	$26.09 	$28.96 	$30.48 
3	$16.17 	$17.26 	$18.27 	$22.74 	$29.98 	$33.54 	$34.97 
4	$16.66 	$17.86 	$19.78 	$26.54 	$34.64 	$38.30 	$39.79 
5	$17.16 	$18.44 	$21.50 	$29.49 	$38.69 	$42.68 	$45.27 
6	$17.90 	$19.15 	$23.43 	$32.20 	$43.01 	$47.42 	$49.58 
7	$18.66 	$20.99 	$25.42 	$35.18 	$48.38 	$52.64 	$54.62 
8	$19.41 	$22.90 	$27.19 	$38.38 	$53.52 	$57.99 	$60.10 
9	$20.40 	$23.91 	$29.38 	$41.20 	$58.23 	$63.59 	$65.97 
10	$20.57 	$25.50 	$31.64 	$44.02 	$62.16 	$69.18 	$71.35 
11	$22.37 	$26.85 	$33.10 	$47.06 	$67.10 	$74.15 	$77.32 
12	$23.55 	$28.42 	$34.91 	$49.72 	$72.30 	$79.43 	$81.02 
13	$25.22 	$29.89 	$36.26 	$52.70 	$77.00 	$83.39 	$87.46 
14	$26.46 	$31.45 	$38.62 	$55.74 	$81.72 	$87.75 	$91.39 
15	$27.47 	$32.22 	$40.50 	$57.89 	$86.03 	$91.64 	$95.54 
16	$28.12 	$33.29 	$42.27 	$59.78 	$89.82 	$96.34 	$99.58 
17	$28.98 	$34.28 	$44.09 	$62.64 	$93.86 	$101.47 	$104.22 
18	$29.95 	$35.41 	$45.70 	$64.81 	$97.75 	$105.95 	$108.17 
19	$31.14 	$36.38 	$47.05 	$67.45 	$101.31 	$110.83 	$113.98 
20	$32.22 	$37.94 	$48.86 	$70.59 	$104.93 	$114.63 	$118.23 
21	$33.71 	$39.42 	$50.70 	$72.98 	$105.30 	$118.57 	$121.07 
22	$34.75 	$41.32 	$52.10 	$75.02 	$112.20 	$123.10 	$125.77 
23	$35.60 	$42.23 	$53.98 	$77.17 	$116.25 	$127.14 	$130.07 
24	$36.42 	$43.91 	$55.70 	$80.17 	$120.49 	$128.87 	$131.46 
25	$37.60 	$45.16 	$56.75 	$82.92 	$124.42 	$136.77 	$142.49 
26	$38.73 	$46.40 	$58.86 	$85.64 	$128.63 	$141.47 	$146.42 
27	$39.97 	$47.76 	$60.36 	$88.66 	$133.00 	$146.22 	$151.02 
28	$41.25 	$49.33 	$61.74 	$90.78 	$136.40 	$149.99 	$154.66 
29	$42.31 	$50.25 	$63.58 	$92.93 	$140.06 	$153.75 	$159.27 
30	$42.48 	$51.61 	$65.78 	$95.97 	$143.90 	$157.90 	$163.30 
31	$42.65 	$53.34 	$67.55 	$98.12 	$147.19 	$161.33 	$167.68 
32	$42.83 	$54.53 	$69.47 	$100.50 	$151.51 	$165.81 	$171.72 
33	$46.37 	$55.94 	$71.40 	$102.64 	$155.57 	$169.62 	$176.09 
34	$47.82 	$56.98 	$72.90 	$106.23 	$160.27 	$173.83 	$180.42 
35	$48.79 	$58.70 	$74.47 	$108.34 	$165.09 	$177.66 	$181.22 
36	$49.55 	$60.00 	$76.02 	$110.55 	$169.52 	$182.25 	$185.90 
37	$50.46 	$60.86 	$77.86 	$113.42 	$174.12 	$188.71 	$194.60 
38	$51.31 	$61.78 	$79.83 	$115.70 	$178.57 	$193.62 	$199.90 
39	$52.94 	$63.42 	$81.17 	$118.01 	$182.88 	$198.78 	$205.10 
40	$53.11 	$65.10 	$83.10 	$120.67 	$187.03 	$203.65 	$209.64 
41	$55.69 	$66.67 	$84.07 	$122.88 	$191.26 	$208.95 	$215.30 
42	$56.60 	$68.29 	$85.78 	$125.48 	$195.36 	$214.10 	$220.71 
43	$57.78 	$69.71 	$87.09 	$127.58 	$199.96 	$218.08 	$225.31 
44	$58.76 	$70.57 	$89.06 	$129.84 	$203.85 	$221.79 	$229.75 
45	$59.02 	$72.30 	$90.36 	$131.66 	$207.57 	$225.94 	$233.18 
46	$60.85 	$73.10 	$92.18 	$132.99 	$211.07 	$229.58 	$238.22 
47	$61.03 	$73.27 	$93.71 	$133.16 	$215.18 	$229.96 	$238.72 
48	$62.30 	$76.22 	$95.38 	$133.33 	$219.02 	$235.56 	$240.65 
49	$62.47 	$76.52 	$95.57 	$133.50 	$222.75 	$236.12 	$240.85 
50	$62.64 	$76.69 	$98.56 	$133.73 	$226.56 	$236.46 	$241.20 
51	$63.22 	$77.02 	$100.74 	$138.26 	$237.46 	$243.10 	$247.97 
52	$67.69 	$81.15 	$103.98 	$145.86 	$241.07 	$260.43 	$266.50 
53	$69.04 	$82.80 	$105.45 	$146.94 	$241.44 	$263.10 	$268.37 
54	$70.02 	$83.80 	$107.10 	$147.28 	$241.97 	$263.43 	$268.70 
55	$71.30 	$84.14 	$108.02 	$147.62 	$252.33 	$263.76 	$269.04 
56	$71.87 	$84.47 	$108.36 	$148.05 	$253.37 	$264.08 	$269.37 
57	$72.21 	$88.11 	$111.69 	$156.42 	$261.62 	$269.42 	$274.81 
58	$72.54 	$88.66 	$112.02 	$157.26 	$264.66 	$269.96 	$275.36 
59	$72.88 	$89.00 	$115.90 	$157.59 	$267.95 	$273.31 	$278.78 
60	$73.22 	$89.34 	$116.55 	$161.99 	$272.06 	$279.38 	$284.97 
61	$73.55 	$89.67 	$116.89 	$162.44 	$275.93 	$281.67 	$287.31 
62	$73.89 	$90.01 	$117.22 	$162.78 	$276.53 	$282.19 	$287.84 
63	$74.22 	$90.34 	$117.56 	$166.14 	$286.50 	$292.25 	$298.10 
64	$78.87 	$92.11 	$117.90 	$166.49 	$287.50 	$293.26 	$299.14 
65	$81.83 	$94.55 	$118.23 	$170.90 	$287.82 	$293.58 	$299.46 
66	$82.17 	$94.89 	$119.55 	$171.35 	$288.31 	$294.09 	$299.98 
67	$82.50 	$96.79 	$119.89 	$171.69 	$288.63 	$294.41 	$300.30 
68	$82.84 	$97.57 	$123.20 	$172.03 	$288.95 	$294.74 	$300.63 
69	$83.18 	$99.74 	$123.54 	$172.78 	$289.94 	$295.74 	$301.66 
70	$83.51 	$108.70 	$127.86 	$187.42 	$305.15 	$314.89 	$321.19 
71	$88.58 	$110.17 	$128.30 	$188.90 	$306.68 	$318.03 	$324.40 
72	$89.10 	$110.50 	$128.63 	$189.23 	$311.90 	$318.36 	$324.73 
73	$89.43 	$110.84 	$129.25 	$192.34 	$312.42 	$318.68 	$325.06 
74	$89.77 	$111.18 	$129.58 	$192.68 	$312.86 	$319.13 	$325.51 
75	$91.37 	$111.85 	$130.26 	$196.57 	$321.53 	$327.96 	$334.52 
76	$92.04 	$112.51 	$130.93 	$197.98 	$326.55 	$333.09 	$339.75 
77	$92.71 	$113.18 	$133.59 	$198.66 	$336.54 	$343.34 	$350.22 
78	$93.38 	$113.86 	$136.17 	$208.18 	$337.54 	$349.49 	$375.14 
79	$94.06 	$114.53 	$136.83 	$209.14 	$355.80 	$370.23 	$377.64 
80	$94.73 	$115.20 	$137.50 	$209.82 	$358.99 	$372.79 	$380.26 
81	$98.01 	$115.87 	$138.18 	$210.50 	$359.66 	$373.43 	$380.90 
82	$98.97 	$117.57 	$138.85 	$211.18 	$360.34 	$374.08 	$381.57 
83	$100.30 	$118.24 	$139.52 	$211.86 	$366.02 	$374.73 	$382.22 
84	$100.97 	$118.91 	$141.60 	$212.54 	$369.95 	$381.06 	$388.68 
85	$105.63 	$121.62 	$148.85 	$221.22 	$370.63 	$381.94 	$389.58 
86	$106.30 	$125.38 	$149.58 	$222.10 	$371.30 	$384.22 	$391.91 
87	$106.98 	$126.04 	$150.25 	$222.78 	$371.98 	$384.86 	$392.57 
88	$107.65 	$126.71 	$150.92 	$223.46 	$372.66 	$387.85 	$395.61 
89	$108.32 	$127.38 	$151.59 	$224.13 	$377.26 	$388.50 	$396.27 
90	$108.99 	$128.06 	$152.26 	$224.81 	$381.18 	$389.14 	$396.93 
91	$109.66 	$128.73 	$152.93 	$225.49 	$381.86 	$389.79 	$397.59 
