parentid,productid,style,use
6_by_9_FULL_FACE,FFW-69,WINDOW,BUSINESS
6_by_9_FULL_FACE,FFW-69-102,WINDOW,BUSINESS
6_by_9_FULL_FACE,FFW-69-103,WINDOW,BUSINESS
6_by_9_FULL_FACE,FFW-69-18,WINDOW,BUSINESS
6_by_9_FULL_FACE,FFW-69-B,WINDOW,BUSINESS
6_by_9_FULL_FACE,FFW-69-GB,WINDOW,BUSINESS
6_by_9_FULL_FACE,FFW-69-L20,WINDOW,BUSINESS
6_by_9_FULL_FACE,FFW-69-L22,WINDOW,BUSINESS
TIX,TIX-99,"SQUARE_FLAP,SPECIALTY_USE",BUSINESS
DRIVE_IN,LDI-24WW,OPEN_END,BUSINESS
DRIVE_IN,SDI-24WW,OPEN_END,BUSINESS
CUR-02,WS-6946,"SQUARE_FLAP,SPECIALTY_USE",BUSINESS
CUR,CUR-00,"SQUARE_FLAP,SPECIALTY_USE",BUSINESS
CUR,CUR-97,"SQUARE_FLAP,SPECIALTY_USE",BUSINESS
CUR,CUR-98,"SQUARE_FLAP,SPECIALTY_USE",BUSINESS
CUR,CUR-99,"SQUARE_FLAP,SPECIALTY_USE",BUSINESS
CREDIT_CARD,1801-06,"OPEN_END,MINI_ENVELOPES,SPECIALTY_USE",BUSINESS
CREDIT_CARD,1801-07,"OPEN_END,MINI_ENVELOPES,SPECIALTY_USE",BUSINESS
CREDIT_CARD,1801-24WMC,"OPEN_END,MINI_ENVELOPES,SPECIALTY_USE",BUSINESS
CREDIT_CARD,1801-80N,"OPEN_END,MINI_ENVELOPES,SPECIALTY_USE",BUSINESS
CREDIT_CARD,1801-BLI,"OPEN_END,MINI_ENVELOPES,SPECIALTY_USE",BUSINESS
CREDIT_CARD,1801-CT,"OPEN_END,MINI_ENVELOPES,SPECIALTY_USE",BUSINESS
CREDIT_CARD,1801-GB,"OPEN_END,MINI_ENVELOPES,SPECIALTY_USE",BUSINESS
CREDIT_CARD,1801-GBHE,"OPEN_END,MINI_ENVELOPES,SPECIALTY_USE",BUSINESS
CREDIT_CARD,1801-H01,"OPEN_END,MINI_ENVELOPES,SPECIALTY_USE",BUSINESS
CREDIT_CARD,1801-H02,"OPEN_END,MINI_ENVELOPES,SPECIALTY_USE",BUSINESS
