Code,Parent Code,Feature,Type,Assoc Type
5360-30,10_SQUARE_FLAP,#10,SIZE_CODE,STANDARD_FEATURE
5365-M09,A1,A1,SIZE_CODE,STANDARD_FEATURE
SH4265-07,A1,A1,SIZE_CODE,STANDARD_FEATURE
FE4265-15,A1,A1,SIZE_CODE,STANDARD_FEATURE
SH4265-05,A1,A1,SIZE_CODE,STANDARD_FEATURE
FE4865-22,A1,A1,SIZE_CODE,STANDARD_FEATURE
FE4265-12,A1,A1,SIZE_CODE,STANDARD_FEATURE
FE4265-20,A1,A1,SIZE_CODE,STANDARD_FEATURE
4865-CLR,A1,A1,SIZE_CODE,STANDARD_FEATURE
4875-CLR,A6,A6,SIZE_CODE,STANDARD_FEATURE
5370-CLR,A2,A2,SIZE_CODE,STANDARD_FEATURE
4880-CLR,A7,A7,SIZE_CODE,STANDARD_FEATURE
WS-0056,6_QUARTER_REGULAR,#6 1/4,SIZE_CODE,STANDARD_FEATURE
72634,6_3_QUAR_REGULAR,#6 3/4,SIZE_CODE,STANDARD_FEATURE
WS-1128,7_REGULAR,#7,SIZE_CODE,STANDARD_FEATURE
WS-3680,16_BANK_FLAP,#16 Regular,SIZE_CODE,STANDARD_FEATURE
24539,8_5_8_DBL_WINDOW,#8 5/8,SIZE_CODE,STANDARD_FEATURE
1012W-24WMI,10_1_2_WINDOW,#10 1/2,SIZE_CODE,STANDARD_FEATURE
WS-3880,10_1_2_WINDOW,#10 1/2,SIZE_CODE,STANDARD_FEATURE
LUX-4820-104,6_BY_9_BOOKLET,6 x 9,SIZE_CODE,STANDARD_FEATURE
LUX-4820-106,6_BY_9_BOOKLET,6 x 9,SIZE_CODE,STANDARD_FEATURE
LUX-4820-102,6_BY_9_BOOKLET,6 x 9,SIZE_CODE,STANDARD_FEATURE
LUX-4820-103,6_BY_9_BOOKLET,6 x 9,SIZE_CODE,STANDARD_FEATURE
LUX-4820-101,6_BY_9_BOOKLET,6 x 9,SIZE_CODE,STANDARD_FEATURE
1CO-WLI,01_COIN,#1 Coin,SIZE_CODE,STANDARD_FEATURE
1CO-80W,01_COIN,#1 Coin,SIZE_CODE,STANDARD_FEATURE
1CO-200,01_COIN,#1 Coin,SIZE_CODE,STANDARD_FEATURE
1CO-CHALK,01_COIN,#1 Coin,SIZE_CODE,STANDARD_FEATURE
1CO-NLI,01_COIN,#1 Coin,SIZE_CODE,STANDARD_FEATURE
1CO-80N,01_COIN,#1 Coin,SIZE_CODE,STANDARD_FEATURE
1CO-GBSG,01_COIN,#1 Coin,SIZE_CODE,STANDARD_FEATURE
1COGK,01_COIN,#1 Coin,SIZE_CODE,STANDARD_FEATURE
1CO-BLI,01_COIN,#1 Coin,SIZE_CODE,STANDARD_FEATURE
GLASS-09,01_COIN,#1 Coin,SIZE_CODE,STANDARD_FEATURE
1801-CT,CREDIT_CARD,#1 Coin,SIZE_CODE,STANDARD_FEATURE
1COBLON,01_COIN,#1 Coin,SIZE_CODE,STANDARD_FEATURE
1COCHAMP,01_COIN,#1 Coin,SIZE_CODE,STANDARD_FEATURE
1COJUP,01_COIN,#1 Coin,SIZE_CODE,STANDARD_FEATURE
GLASS-19,3_4_OPEN_END,#4 Coin,SIZE_CODE,STANDARD_FEATURE
4CO-GB,4_COIN,#4 Coin,SIZE_CODE,STANDARD_FEATURE
4CO-28W,4_COIN,#4 Coin,SIZE_CODE,STANDARD_FEATURE
4CO-06,4_COIN,#4 Coin,SIZE_CODE,STANDARD_FEATURE
4CO-07,4_COIN,#4 Coin,SIZE_CODE,STANDARD_FEATURE
LUX-4CO-B,4_COIN,#4 Coin,SIZE_CODE,STANDARD_FEATURE
LUX-4CO-18,4_COIN,#4 Coin,SIZE_CODE,STANDARD_FEATURE
512CO-28W,5_HALF_COIN,#5 1/2 Coin,SIZE_CODE,STANDARD_FEATURE
512CO-M09,5_HALF_COIN,#5 1/2 Coin,SIZE_CODE,STANDARD_FEATURE
512CO-MK,5_HALF_COIN,#5 1/2 Coin,SIZE_CODE,STANDARD_FEATURE
512CO-28BK,5_HALF_COIN,#5 1/2 Coin,SIZE_CODE,STANDARD_FEATURE
LUX-512CO-22,5_HALF_COIN,#5 1/2 Coin,SIZE_CODE,STANDARD_FEATURE
512CO-28GK,5_HALF_COIN,#5 1/2 Coin,SIZE_CODE,STANDARD_FEATURE
LUX-512CO-B,5_HALF_COIN,#5 1/2 Coin,SIZE_CODE,STANDARD_FEATURE
512CO-06,5_HALF_COIN,#5 1/2 Coin,SIZE_CODE,STANDARD_FEATURE
LUX-512CO-GB,5_HALF_COIN,#5 1/2 Coin,SIZE_CODE,STANDARD_FEATURE
512CO-07,5_HALF_COIN,#5 1/2 Coin,SIZE_CODE,STANDARD_FEATURE
512CO-M08,5_HALF_COIN,#5 1/2 Coin,SIZE_CODE,STANDARD_FEATURE
512CO-M07,5_HALF_COIN,#5 1/2 Coin,SIZE_CODE,STANDARD_FEATURE
LUX-512CO-18,5_HALF_COIN,#5 1/2 Coin,SIZE_CODE,STANDARD_FEATURE
512CO-BP,5_HALF_COIN,#5 1/2 Coin,SIZE_CODE,STANDARD_FEATURE
LUX-512CO-103,5_HALF_COIN,#5 1/2 Coin,SIZE_CODE,STANDARD_FEATURE
LUX-512CO-102,5_HALF_COIN,#5 1/2 Coin,SIZE_CODE,STANDARD_FEATURE
LUX-512CO-L22,5_HALF_COIN,#5 1/2 Coin,SIZE_CODE,STANDARD_FEATURE
LUX-512CO-12,5_HALF_COIN,#5 1/2 Coin,SIZE_CODE,STANDARD_FEATURE
LUX-512CO-L20,5_HALF_COIN,#5 1/2 Coin,SIZE_CODE,STANDARD_FEATURE
LUX-512CO-11,5_HALF_COIN,#5 1/2 Coin,SIZE_CODE,STANDARD_FEATURE
