id	title	description	link	color	price	height	width	weight	image link	brand	gtin	mpn	product type	google product category	quantity	condition	currency	adwords_redirect	c:drlp	adwords_queryparam	adwords_labels	availability	created_date	custom_label_0	custom_label_1	custom_label_2	custom_label_3	custom_label_4	google_funded_promotion_eligibility
10968-50	11 x 13 1/2 Paperboard Mailers - White Paperboard - Pack of 50	11 x 13 1/2 Spot Seal Envelopes are made especially for mailing photos, documents, books, calendars, and CDs. All sizes have a peel and seal pressure-sensitive closure, and pull-strip for easy opening, similar to overnight express envelopes. The 11 x 13 1/2 Spot Seal Envelopes are made from recycled fiberboard having 95% post-consumer content. Available in quantities from 100 to 50,000. 	https://www.folders.com/paperboard-mailers/11-x-13-1-2-paperboard-mailers-white-paperboard?utm_source=gbase&utm_medium=cpc&utm_campaign=gbase&CS_003=2521211&CS_010=10968	White	49.95	13.5 inches	11.0 inches	12.2 pounds	https://www.folders.com/images/products/detail/10968.jpg?ts=10239123	Folders.com		10968-50	Mailer	Office Supplies > Filing & Organization > File Folders	50	new	USD	https://www.folders.com/paperboard-mailers/11-x-13-1-2-paperboard-mailers-white-paperboard	https%3A%2F%2Fwww%2Efolders%2Ecom%2Fpaperboard-mailers%2F11-x-13-1-2-paperboard-mailers-white-paperboard	adtype={adtype}	Paperboard Mailers,Shipping & Packaging,11 x 13 1/2,White Paperboard,BID,remarketing	in stock	2007-07-01 00:00:00						
10BS-WLI-50	#10 Button & String Envelopes (4 1/8 x 9 1/2) - White Linen - Pack of 50	Add some personality to your mailings with #10 Open End, Button & String Envelopes! These ungummed envelopes are closed by securely wrapping the string around the two buttons.	https://www.folders.com/open-end/10-button-string-envelopes-white-linen?utm_source=gbase&utm_medium=cpc&utm_campaign=gbase&CS_003=2521211&CS_010=10BS-WLI	White	12.95	9.5 inches	4.1 inches	1.8 pounds	https://www.folders.com/images/products/detail/10BS-WLI.jpg?ts=10239123	Folders.com	642213100230	10BS-WLI-50	Envelope	Office Supplies > Filing & Organization > File Folders	50	new	USD	https://www.folders.com/open-end/10-button-string-envelopes-white-linen	https%3A%2F%2Fwww%2Efolders%2Ecom%2Fopen-end%2F10-button-string-envelopes-white-linen	adtype={adtype}	Open End,Business Envelopes,4 1/8 x 9 1/2,White Linen,BID,remarketing	in stock	2016-02-04 10:24:08						
1113PBM-BF-10	11 x 13 1/2 Colored Paperboard Mailers - Bright Fuchsia - Pink - Pack of 10	11x13 1/2 Colored Paperboard Mailer in 18pt Bright Fuchsia is an eye-catching, bright pink color with a soft touch. Stiff paperboard envelopes are made especially for mailing photos, documents, books, calendars, CDs and other articles that should not be bent. All sizes have a peel and seal pressure-sensitive closure, and pull-strip for easy opening, like overnight express envelopes. You can find this collection available in small quantities of 50 to large quantities of 50,000 and more.	https://www.folders.com/paperboard-mailers/11-x-13-1-2-colored-paperboard-mailers-bright-fuchsia?utm_source=gbase&utm_medium=cpc&utm_campaign=gbase&CS_003=2521211&CS_010=1113PBM-BF	Pink	19.95	13.5 inches	11.0 inches	1.0 pounds	https://www.folders.com/images/products/detail/1113PBM-BF.jpg?ts=10239123	Folders.com	642213098469	1113PBM-BF-10	Mailer	Office Supplies > Filing & Organization > File Folders	10	new	USD	https://www.folders.com/paperboard-mailers/11-x-13-1-2-colored-paperboard-mailers-bright-fuchsia	https%3A%2F%2Fwww%2Efolders%2Ecom%2Fpaperboard-mailers%2F11-x-13-1-2-colored-paperboard-mailers-bright-fuchsia	adtype={adtype}	Paperboard Mailers,Shipping & Packaging,11 x 13 1/2,Bright Fuchsia,BID,remarketing	in stock	2016-02-01 18:16:43						
11499-50	16 x 20 Jumbo Envelopes - 28lb. Brown Kraft - Pack of 50	16 x 20 Jumbo envelopes in 28lb. Brown Kraft are a business grade envelope in a classic light, golden brown color. Use this to send flat, bulky materials or multiple small items like coins, catalogs and jumbo cards. Flap is on the short side, helping to keep things from falling out after opening. Also called a "catalog" envelope, it actually comes in 39 sizes from tiny to huge, in white, traditional kraft, and array of colors for special impact. Available with moistenable flap, some with self-stick Peel & Seal. Also see our Open Side collection.	https://www.folders.com/open-end/16-x-20-jumbo-envelopes-28lb-brown-kraft?utm_source=gbase&utm_medium=cpc&utm_campaign=gbase&CS_003=2521211&CS_010=11499	Brown	93.95	20.0 inches	16.0 inches	5.9 pounds	https://www.folders.com/images/products/detail/11499.jpg?ts=10239123	Folders.com	848614016129	11499-50	Envelope	Office Supplies > Filing & Organization > File Folders	50	new	USD	https://www.folders.com/open-end/16-x-20-jumbo-envelopes-28lb-brown-kraft	https%3A%2F%2Fwww%2Efolders%2Ecom%2Fopen-end%2F16-x-20-jumbo-envelopes-28lb-brown-kraft	adtype={adtype}	Open End,Business Envelopes,16 x 20,28lb. Brown Kraft,BID,remarketing	in stock	2007-07-01 00:00:00						
1410-50	5 x 9 1/4 AirJacket Mailers - White Bubble - Pack of 50	A bubble-wrap lining protects sensitive objects like CD's, DVD's, books, jewelry and pharmaceuticals. Durable polypropylene plastic exterior resists moisture. A bottom fold and strong side heat seals provide superior bursting strength. Strong, tamper-evident Peel & Seal in 10 sizes.	https://www.folders.com/bubble-lined/5-x-9-1-4-airjacket-mailers-white-bubble?utm_source=gbase&utm_medium=cpc&utm_campaign=gbase&CS_003=2521211&CS_010=1410	White	19.95	9.2 inches	5.0 inches	1.9 pounds	https://www.folders.com/images/products/detail/1410.jpg?ts=10239123	Folders.com		1410-50	Mailer	Office Supplies > Filing & Organization > File Folders	50	new	USD	https://www.folders.com/bubble-lined/5-x-9-1-4-airjacket-mailers-white-bubble	https%3A%2F%2Fwww%2Efolders%2Ecom%2Fbubble-lined%2F5-x-9-1-4-airjacket-mailers-white-bubble	adtype={adtype}	Bubble Lined,Shipping & Packaging,5" x 9 1/4",White Bubble,BID,remarketing	in stock	2007-07-01 00:00:00						
1HP10SH-GY-1	Inlight 1 Hole Puncher - 10 Sheet Capacity - Gray - Pack of 1	Inlight 1 Hole Puncher - 10 Sheet Capacity in Silver is a manual hole puncher designed to cleanly slice through up to 10 sheets of paper. ProPunch technology makes punching 50% easier. The ergonomic non-slip-grip handle is designed to fit comfortably in your hand. The handle has a compartment to collect chips with a convenient door for easy disposal. Handle locks closed for easy storage.	https://www.folders.com/hole-punchers/inlight-1-hole-puncher-10-sheet-capacity-gray?utm_source=gbase&utm_medium=cpc&utm_campaign=gbase&CS_003=2521211&CS_010=1HP10SH-GY	Gray	4.95	3.0 inches	5.0 inches	0.2 pounds	https://www.folders.com/images/products/detail/1HP10SH-GY.jpg?ts=10239123	Folders.com		1HP10SH-GY-1	Paper	Office Supplies > Filing & Organization > File Folders	1	new	USD	https://www.folders.com/hole-punchers/inlight-1-hole-puncher-10-sheet-capacity-gray	https%3A%2F%2Fwww%2Efolders%2Ecom%2Fhole-punchers%2Finlight-1-hole-puncher-10-sheet-capacity-gray	adtype={adtype}	Hole Punchers,Accessories,5 x 3,Gray,BID,remarketing	in stock	2018-01-03 10:40:03						
22663-50	13 x 19 Jumbo Envelopes - 28lb. Brown Kraft - Pack of 50	13 x 19 Jumbo Envelopes in 28lb. Brown Kraft is a classic brown envelope with a tint of orange and a smooth finish. Use this to send flat, bulky materials or multiple small items like coins, catalogs and jumbo cards. Flap is on the short side, helping to keep things from falling out after opening. Also called a "catalog" envelope, this collection comes in 39 sizes from large to small. Our 13 x 19 Jumbo Envelopes can be found in an array of colors for special impact. Available with moistenable flap, some with self-stick Peel & Seal;. Also see our Open Side collection. You can find our collection available in quantities of 50 to 50,000.	https://www.folders.com/open-end/13-x-19-jumbo-envelopes-28lb-brown-kraft?utm_source=gbase&utm_medium=cpc&utm_campaign=gbase&CS_003=2521211&CS_010=22663	Brown	74.95	19.0 inches	13.0 inches	4.6 pounds	https://www.folders.com/images/products/detail/22663.jpg?ts=10239123	Folders.com	848614015825	22663-50	Envelope	Office Supplies > Filing & Organization > File Folders	50	new	USD	https://www.folders.com/open-end/13-x-19-jumbo-envelopes-28lb-brown-kraft	https%3A%2F%2Fwww%2Efolders%2Ecom%2Fopen-end%2F13-x-19-jumbo-envelopes-28lb-brown-kraft	adtype={adtype}	Open End,Business Envelopes,13 x 19,28lb. Brown Kraft,BID,remarketing	in stock	2007-07-01 00:00:00						
2356-50	17 x 22 Jumbo Envelopes - 28lb. Brown Kraft - Pack of 50	17 x 22 Jumbo Envelopes in 28lb. Brown Kraft is a classic brown envelope with a tint of orange and a smooth finish. Use this to send flat, bulky materials or multiple small items like coins, catalogs and jumbo cards. Flap is on the short side, helping to keep things from falling out after opening. Also called a "catalog" envelope, this collection comes in 39 sizes from large to small. Our 17 x 22 Jumbo Envelopes can be found in an array of colors for special impact. Available with moistenable flap, some with self-stick Peel & Seal;. Also see our Open Side collection. You can find our collection available in quantities of 50 to 50,000.	https://www.folders.com/open-end/17-x-22-jumbo-envelopes-28lb-brown-kraft?utm_source=gbase&utm_medium=cpc&utm_campaign=gbase&CS_003=2521211&CS_010=2356	Brown	79.95	22.0 inches	17.0 inches	6.8 pounds	https://www.folders.com/images/products/detail/2356.jpg?ts=10239123	Folders.com	848614016211	2356-50	Envelope	Office Supplies > Filing & Organization > File Folders	50	new	USD	https://www.folders.com/open-end/17-x-22-jumbo-envelopes-28lb-brown-kraft	https%3A%2F%2Fwww%2Efolders%2Ecom%2Fopen-end%2F17-x-22-jumbo-envelopes-28lb-brown-kraft	adtype={adtype}	Open End,Business Envelopes,17 x 22,28lb. Brown Kraft,BID,remarketing	in stock	2007-07-01 00:00:00						
25552-50	15 x 20 Jumbo Envelopes - Gray Kraft - Pack of 50	15 x 20 Jumbo Envelopes in 28lb. Gray Kraft is a fresh variation to the classic kraft paper. Use this to send flat, bulky materials or multiple small items like coins, catalogs and jumbo cards. Flap is on the short side, helping to keep things from falling out after opening. Also called a "catalog" envelope, it actually comes in 39 sizes from tiny to huge, in white, traditional kraft, and array of colors for special impact. Available with moistenable flap, some with self-stick Peel & Seal. Also see our Open Side collection. You can find this collection available in quantities from 50 to 50,000.	https://www.folders.com/open-end/15-x-20-jumbo-envelopes-gray-kraft?utm_source=gbase&utm_medium=cpc&utm_campaign=gbase&CS_003=2521211&CS_010=25552	Gray	85.95	20.0 inches	15.0 inches	5.5 pounds	https://www.folders.com/images/products/detail/25552.jpg?ts=10239123	Folders.com	848614016037	25552-50	Envelope	Office Supplies > Filing & Organization > File Folders	50	new	USD	https://www.folders.com/open-end/15-x-20-jumbo-envelopes-gray-kraft	https%3A%2F%2Fwww%2Efolders%2Ecom%2Fopen-end%2F15-x-20-jumbo-envelopes-gray-kraft	adtype={adtype}	Open End,Business Envelopes,15 x 20,Gray Kraft,BID,remarketing	in stock	2007-07-01 00:00:00						
27297-100	8 1/2 x 11 1/4 AirJacket Mailers - White Bubble - Pack of 100	A bubble-wrap lining protects sensitive objects like CD's, DVD's, books, jewelry and pharmaceuticals. Durable polypropylene plastic exterior resists moisture. A bottom fold and strong side heat seals provide superior bursting strength. Strong, tamper-evident Peel & Seal in 10 sizes.	https://www.folders.com/bubble-lined/8-1-2-x-11-1-4-airjacket-mailers-white-bubble?utm_source=gbase&utm_medium=cpc&utm_campaign=gbase&CS_003=2521211&CS_010=27297	White	55.95	11.2 inches	8.5 inches	6.5 pounds	https://www.folders.com/images/products/detail/27297.jpg?ts=10239123	Folders.com	646223025668	27297-100	Mailer	Office Supplies > Filing & Organization > File Folders	100	new	USD	https://www.folders.com/bubble-lined/8-1-2-x-11-1-4-airjacket-mailers-white-bubble	https%3A%2F%2Fwww%2Efolders%2Ecom%2Fbubble-lined%2F8-1-2-x-11-1-4-airjacket-mailers-white-bubble	adtype={adtype}	Bubble Lined,Shipping & Packaging,8 1/2" x 12",White Bubble,BID,remarketing	in stock	2007-07-01 00:00:00						
